record_id	artifact_type	product_or_source_path	selection_status	structure_source	chinese_source_tier	chinese_evidence	selected_change	selection_reason	package_inclusion	notes
SEL-015	HTML	magica/template/quest/scene0/Top.html	selected-materialized	A:\totentanz-frontend\template\quest\scene0\Top.html	official-cn-direct/context	A:\magicaOLD\template\quest\scene0\Top.html	visible quest-top labels	shared structure with recoverable old-CN labels	yes	US/current markup is authoritative; only visible text is localized.
SEL-016	HTML	magica/template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html	selected-materialized	current product/live-US structure plus D:\magia\AuditSnapshots\runtime_source_audit_20260817 API evidence	official-cn-stable-id/context	A:\magicaOLD API data; boss ID 155 context; D:\magia\AuditSnapshots\runtime_source_audit_20260817\json	幸福な魔女→幸福魔女 at two render sites	screenshot-proven dynamic boss name; group/player login names intentionally untouched	yes	US/current markup is authoritative; only visible text is localized.
SEL-017	HTML	magica/template/user/APPopup.html	selected-materialized	live-US template fetched 2026-08-17; A capture missing; markup bound by magica/js/view/user/APPopup.js	official-cn-direct plus confirmed-human composition	A:\magicaOLD\template\user\APPopup.html	AP timers/items/count/cost/stock/restore labels	screenshot-proven English fallback caused by missing template; live markup preserved	yes	US/current markup is authoritative; only visible text is localized.
SEL-018	HTML	magica/template/user/BackgroundSet.html	selected-materialized	A:\totentanz-frontend\template\user\BackgroundSet.html	official-cn-direct/context	A:\magicaOLD\template\user\BackgroundSet.html	visible background-setting labels	shared structure with recoverable old-CN labels	yes	US/current markup is authoritative; only visible text is localized.
SEL-019	HTML	magica/template/user/MyProfilePopup.html	selected-materialized	A:\totentanz-frontend\template\user\MyProfilePopup.html	official-cn-context plus confirmed-human	A:\magicaOLD profile terminology	Emblem Display Settings→徽章显示设置; explanatory sentences	visible English and malformed mixed Chinese on production profile popup	yes	US/current markup is authoritative; only visible text is localized.
SEL-020	HTML	magica/template/user/MyProfilePopup2.html	selected-materialized	A:\totentanz-frontend\template\user\MyProfilePopup2.html	official-cn-direct/context	A:\magicaOLD\template\user\MyProfilePopup2.html	visible profile labels	shared structure with recoverable old-CN labels	yes	US/current markup is authoritative; only visible text is localized.
SEL-021	HTML	magica/template/util/SearchQuest.html	selected-materialized	A:\totentanz-frontend\template\util\SearchQuest.html	official-cn-direct/context	A:\magicaOLD\template\util\SearchQuest.html	visible quest-search labels	shared structure with recoverable old-CN labels	yes	US/current markup is authoritative; only visible text is localized.
SEL-022	CSS	magica/css/_common/common.css	selected-materialized	current product/live-US common structure; A capture missing	official-cn-direct/cross-path plus bounded manual	A:\magicaOLD\css\_common\common.css; old-CN Follow/Support/Shop terminology	18 visible generated labels	shared generated labels affect many pages; upstream bytes retained and narrow overrides appended	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-023	CSS	magica/css/arena/ArenaResult.css	selected-materialized	A:\totentanz-frontend\css\arena\ArenaResult.css	official-cn-cross-path	A:\magicaOLD arena templates/JS/help	対戦相手→对战对手	visible generated label	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-024	CSS	magica/css/chara/CharaCommon.css	selected-materialized	A:\totentanz-frontend\css\chara\CharaCommon.css	official-cn-direct/cross-path	A:\magicaOLD\css\chara\CharaCommon.css and official attribute terminology	six generated labels	production character controls; current selectors preserved	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-025	CSS	magica/css/chara/CharaEnhancementTree.css	selected-materialized	A:\totentanz-frontend\css\chara\CharaEnhancementTree.css	official-cn-cross-path	A:\magicaOLD common/Shop terminology	所持→持有; HP/ATK/DEF retained	visible generated inventory label	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-026	CSS	magica/css/collection/MemoriaCollection.css	selected-materialized	A:\totentanz-frontend\css\collection\MemoriaCollection.css	official-cn-direct	A:\magicaOLD\css\collection\MemoriaCollection.css	所持数/選択数	visible generated counters	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-027	CSS	magica/css/event/dailytower/EventDailyTower.css	selected-materialized	A:\totentanz-frontend\css\event\dailytower\EventDailyTower.css	official-cn-direct	A:\magicaOLD\css\event\dailytower\EventDailyTower.css	locked-next-quest notice	visible generated notice	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-028	CSS	magica/css/event/EventWitch/ExchangeTop.css	selected-materialized	A:\totentanz-frontend\css\event\EventWitch\ExchangeTop.css	official-cn-cross-path	A:\magicaOLD\css\_common\common.css	skill/ability type labels	old same-path file missed these; common official terms are exact semantic matches	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-029	CSS	magica/css/event/raid/EventRaidTop.css	selected-materialized	A:\totentanz-frontend\css\event\raid\EventRaidTop.css	official-cn-direct	A:\magicaOLD\css\event\raid\EventRaidTop.css	受け取る→领取	visible mission button label	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-030	CSS	magica/css/event/tower/EventTower.css	selected-materialized	A:\totentanz-frontend\css\event\tower\EventTower.css	official-cn-direct	A:\magicaOLD\css\event\tower\EventTower.css	locked-next-quest notice	visible generated notice	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-031	CSS	magica/css/formation/DeckFormation.css	selected-materialized	A:\totentanz-frontend\css\formation\DeckFormation.css	official-cn-direct plus bounded manual	A:\magicaOLD\css\formation\DeckFormation.css	copy destination and five barrier names	visible generated deck labels; no old-CN translation for later barrier selectors	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-032	CSS	magica/css/memoria/MemoriaComposeTop.css	selected-materialized	A:\totentanz-frontend\css\memoria\MemoriaComposeTop.css	official-cn-direct	A:\magicaOLD\css\memoria\MemoriaComposeTop.css	base/held/selected labels	visible generated labels; LV and punctuation retained	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-033	CSS	magica/css/memoria/UserMemoriaList.css	selected-materialized	A:\totentanz-frontend\css\memoria\UserMemoriaList.css	official-cn-direct/cross-path plus bounded manual	A:\magicaOLD\css\memoria\UserMemoriaList.css; PieceArchive.css	archive/list state and counters	visible later-feature labels; Lv MAX retained	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-034	CSS	magica/css/mission/MissionTop.css	selected-materialized	A:\totentanz-frontend\css\mission\MissionTop.css	official-cn-direct	A:\magicaOLD\css\mission\MissionTop.css	挑戦する/受け取る	visible mission buttons	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-035	CSS	magica/css/patrol/PatrolLumpFormation.css	selected-materialized	A:\totentanz-frontend\css\patrol\PatrolLumpFormation.css	bounded confirmed-human using official terminology	A:\magicaOLD quest battle-power terminology; no direct old-CN patrol UI	power/time/drop-expectation labels	late US feature absent from old-CN localized UI; only non-abbreviation labels changed	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-036	CSS	magica/css/quest/MainQuest.css	selected-materialized	current product/live-US structure and A:\totentanz-frontend\css\quest\MainQuest.css	official-cn-direct	A:\magicaOLD\css\quest\MainQuest.css	latest-story-cleared notice	same-selector official CN value	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-037	CSS	magica/css/quest/SecondPartLastBattleConfirm.css	selected-materialized	A:\totentanz-frontend\css\quest\SecondPartLastBattleConfirm.css	bounded confirmed-human	A:\magicaOLD same path retained Japanese; semantic UI context	参加済→已参加	old-CN file missed the visible generated label	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-038	CSS	magica/css/quest/SecondPartLastFormation.css	selected-materialized	A:\totentanz-frontend\css\quest\SecondPartLastFormation.css	bounded confirmed-human using official terminology	A:\magicaOLD quest battle-power terminology	recommended/player power labels	old-CN file missed these generated labels	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-039	CSS	magica/css/regularEvent/extermination/RegularEventExterminationBattleConfirm.css	selected-materialized	A:\totentanz-frontend\css\regularEvent\extermination\RegularEventExterminationBattleConfirm.css	bounded confirmed-human	A:\magicaOLD same path retained Japanese; semantic UI context	参加済→已参加	visible generated label	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-040	CSS	magica/css/regularEvent/extermination/RegularEventExterminationFormation.css	selected-materialized	A:\totentanz-frontend\css\regularEvent\extermination\RegularEventExterminationFormation.css	bounded confirmed-human using official terminology	A:\magicaOLD quest battle-power terminology	recommended/player power labels	old-CN file missed these generated labels	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-041	CSS	magica/css/regularEvent/groupBattle/RegularEventGroupBattleBoss.css	selected-materialized	D:\magia\AuditSnapshots\runtime_source_audit_20260817\RegularEventGroupBattleBoss.css	official-cn-cross-path plus bounded confirmed-human	A:\magicaOLD groupBattle CSS/templates; runtime screenshot evidence	reward labels and CSS overlays for 小组/模拟战/战斗开始/挑战次数/16:00时回复	A capture lacks live Boss CSS; screenshot proves baked Japanese button labels	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-042	CSS	magica/css/regularEvent/groupBattle/RegularEventGroupBattleResult.css	selected-materialized	D:\magia\AuditSnapshots\runtime_source_audit_20260817\RegularEventGroupBattleResult.css	official-cn-cross-path plus bounded confirmed-human	A:\magicaOLD groupBattle CSS; runtime result assets	reward labels and CSS overlays for 合计/伤害/战斗结果/点击屏幕	A capture lacks live Result CSS; screenshot/source assets prove baked English labels	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-043	CSS	magica/css/regularEvent/groupBattle/RegularEventGroupBattleTop.css	selected-materialized	A:\totentanz-frontend\css\regularEvent\groupBattle\RegularEventGroupBattleTop.css	official-cn-direct/cross-path plus bounded manual	A:\magicaOLD\css\regularEvent\groupBattle\RegularEventGroupBattleTop.css and groupBattle templates	seven reward-progress labels	visible generated labels; official same-feature terminology reused	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-044	CSS	magica/css/shop/ShopTop.css	selected-materialized	A:\totentanz-frontend\css\shop\ShopTop.css	official-cn-direct/cross-selector	A:\magicaOLD\css\shop\ShopTop.css	held/price/total/count labels	visible generated shop labels	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-045	CSS	magica/css/user/EventRecord.css	selected-materialized	A:\totentanz-frontend\css\user\EventRecord.css	official-cn-cross-path plus bounded manual	A:\magicaOLD groupBattle CSS/templates	seven group-battle record labels	old same-path CSS retained Japanese; same-feature official terms reused	yes	Only visible content/overlay rules changed; identifiers, URLs, layout, hit areas and animation geometry remain authoritative.
SEL-046	PNG	magica/resource/image_web/regularEvent/groupBattle/common/result/result_title_header.png	selected-official-png	D:\magia\AuditSnapshots\runtime_source_audit_20260817\result_assets\result_title_header.png (US geometry 266x36)	official-cn-direct	A:\magicaOLD\resource\image_web\regularEvent\groupBattle\common\result\result_title_header.png	キモチ戦 image→心魔战 official image	same path and 266x36 geometry; byte-identical old-CN source is already materialized	yes	Ignored by default Git patterns and must be force-added; source/product bytes verified equal.
SEL-047	PNG_SOURCE	/magica/resource/image_web/regularEvent/groupBattle/common2/battle_top/btn_group.png	evidence-only-css-overlay	D:\magia\AuditSnapshots\runtime_source_audit_20260817\assets\btn_group.png	bounded confirmed-human; old CN retained source text	D:\magia\AuditSnapshots\runtime_source_audit_20260817\assets\btn_group.png	グループ→小组	source image identifies a visible residual, but copying it adds no localization value	no	Localized by selected Boss/Result CSS; original source PNG is not imported into cn_js_update.zip.
SEL-048	PNG_SOURCE	/magica/resource/image_web/regularEvent/groupBattle/common2/battle_top/btn_morcwar.png	evidence-only-css-overlay	D:\magia\AuditSnapshots\runtime_source_audit_20260817\assets\btn_morcwar.png	bounded confirmed-human; old CN retained source text	D:\magia\AuditSnapshots\runtime_source_audit_20260817\assets\btn_morcwar.png	模擬戦→模拟战	source image identifies a visible residual, but copying it adds no localization value	no	Localized by selected Boss/Result CSS; original source PNG is not imported into cn_js_update.zip.
SEL-049	PNG_SOURCE	/magica/resource/image_web/regularEvent/groupBattle/common2/battle_top/btn_battle.png	evidence-only-css-overlay	D:\magia\AuditSnapshots\runtime_source_audit_20260817\assets\btn_battle.png	bounded confirmed-human; old CN retained source text	D:\magia\AuditSnapshots\runtime_source_audit_20260817\assets\btn_battle.png	バトル開始/挑戦回数/16:00に回復→战斗开始/挑战次数/16:00时回复	source image identifies a visible residual, but copying it adds no localization value	no	Localized by selected Boss/Result CSS; original source PNG is not imported into cn_js_update.zip.
SEL-050	PNG_SOURCE	/magica/resource/image_web/regularEvent/groupBattle/common2/battle_top/btn_battle_off.png	evidence-only-css-overlay	D:\magia\AuditSnapshots\runtime_source_audit_20260817\assets\btn_battle_off.png	bounded confirmed-human; old CN retained source text	D:\magia\AuditSnapshots\runtime_source_audit_20260817\assets\btn_battle_off.png	disabled バトル開始 image→disabled state remains same geometry; CSS label overlay	source image identifies a visible residual, but copying it adds no localization value	no	Localized by selected Boss/Result CSS; original source PNG is not imported into cn_js_update.zip.
SEL-051	PNG_SOURCE	/magica/resource/image_web/regularEvent/groupBattle/common/result/result_title_text.png	evidence-only-css-overlay	D:\magia\AuditSnapshots\runtime_source_audit_20260817\result_assets\result_title_text.png	bounded confirmed-human; old CN retained source text	D:\magia\AuditSnapshots\runtime_source_audit_20260817\result_assets\result_title_text.png	Battle Result→战斗结果	source image identifies a visible residual, but copying it adds no localization value	no	Localized by selected Boss/Result CSS; original source PNG is not imported into cn_js_update.zip.
SEL-052	PNG_SOURCE	/magica/resource/image_web/regularEvent/groupBattle/common/result/damage/title_tx01.png	evidence-only-css-overlay	D:\magia\AuditSnapshots\runtime_source_audit_20260817\result_assets\title_tx01.png	bounded confirmed-human; old CN retained source text	D:\magia\AuditSnapshots\runtime_source_audit_20260817\result_assets\title_tx01.png	Total→合计	source image identifies a visible residual, but copying it adds no localization value	no	Localized by selected Boss/Result CSS; original source PNG is not imported into cn_js_update.zip.
SEL-053	PNG_SOURCE	/magica/resource/image_web/regularEvent/groupBattle/common/result/damage/title_tx02.png	evidence-only-css-overlay	D:\magia\AuditSnapshots\runtime_source_audit_20260817\result_assets\title_tx02.png	bounded confirmed-human; old CN retained source text	D:\magia\AuditSnapshots\runtime_source_audit_20260817\result_assets\title_tx02.png	Damage→伤害	source image identifies a visible residual, but copying it adds no localization value	no	Localized by selected Boss/Result CSS; original source PNG is not imported into cn_js_update.zip.
SEL-054	PNG_SOURCE	/magica/resource/image_web/regularEvent/groupBattle/common/result/touch_screen.png	evidence-only-css-overlay	D:\magia\AuditSnapshots\runtime_source_audit_20260817\result_assets\touch_screen.png	bounded confirmed-human; old CN retained source text	D:\magia\AuditSnapshots\runtime_source_audit_20260817\result_assets\touch_screen.png	TOUCH SCREEN→点击屏幕	source image identifies a visible residual, but copying it adds no localization value	no	Localized by selected Boss/Result CSS; original source PNG is not imported into cn_js_update.zip.
SEL-055	ENGINE_TSV	madomagi/engine_i18n.tsv	selected-source-key-repair	native runtime exact-key contract	source-key correction only; Chinese target provenance unchanged	madomagi/engine_i18n.tsv; engine_i18n_authority_summary.json	マギア·スキル発動→マギア・スキル発動	U+00B7 key could not match runtime U+30FB source literal; target text is not rewritten	yes	Exact matching is byte-sensitive; this row does not promote the Chinese target to official authority.
SEL-056	ENGINE_TSV	madomagi/engine_i18n.tsv	selected-source-key-repair	native runtime exact-key contract	source-key correction only; Chinese target provenance unchanged	madomagi/engine_i18n.tsv; engine_i18n_authority_summary.json	マギア·スキルを所持しておりません。→マギア・スキルを所持しておりません。	U+00B7 key could not match runtime U+30FB source literal; target text is not rewritten	yes	Exact matching is byte-sensitive; this row does not promote the Chinese target to official authority.
SEL-057	ENGINE_TSV	madomagi/engine_i18n.tsv	selected-source-key-repair	native runtime exact-key contract	source-key correction only; Chinese target provenance unchanged	madomagi/engine_i18n.tsv; engine_i18n_authority_summary.json	ディスク·スキル→ディスク・スキル	U+00B7 key could not match runtime U+30FB source literal; target text is not rewritten	yes	Exact matching is byte-sensitive; this row does not promote the Chinese target to official authority.
SEL-058	ENGINE_TSV	madomagi/engine_i18n.tsv	selected-source-key-repair	native runtime exact-key contract	source-key correction only; Chinese target provenance unchanged	madomagi/engine_i18n.tsv; engine_i18n_authority_summary.json	獲得したEXP·カースチップ(CC)·宝箱は\n入手できなくなります→獲得したEXP・カースチップ(CC)・宝箱は\n入手できなくなります	U+00B7 key could not match runtime U+30FB source literal; target text is not rewritten	yes	Exact matching is byte-sensitive; this row does not promote the Chinese target to official authority.
SEL-059	ENGINE_TSV	madomagi/engine_i18n.tsv	selected-screenshot-exact	native dynamic label and stable business key	llm-root-rough	magica/js/libs/emotionSkillMap.json#1007113.name	Magia Drain [VI]→Magia汲取[Ⅵ]	screenshot-proven exact runtime key; no higher-authority name source found	yes	Lowest-authority rough translation is explicitly preserved for later human refinement.
SEL-060	ENGINE_TSV	madomagi/engine_i18n.tsv	selected-screenshot-exact	native dynamic label and stable business key	wiki	magica/i18n_audit/wiki_authority_pass9/applied_wiki_proposals.tsv#emotionSkillMap.json/1007113/shortDescription	full English Magia effect→Wiki/current 1007113 shortDescription	screenshot and dictionary are joined by exact stable business key	yes	Only the full exact source is replaced; no fragment-wide rule is introduced.
SEL-061	ENGINE_TSV	madomagi/engine_i18n.tsv	selected-screenshot-exact	native dynamic button label	official-cn-native-exact	D:\magia\MyProducts\MAGIA RECORD CN\origin_apktool_decoded\lib\arm64-v8a\libmadomagi_native.so	発動→发动	old official-CN native contains the exact target in battle-skill context	yes	The bare key is separate from existing 発動する/発動済み rules.
SEL-062	NATIVE_ATLAS_SOURCE	D:\magia\MyProducts\MagiaRe\Magia_CN_Project\totentanz_unpacked\assets\package\quest\quest_image0.png#skill_title_02.png	evidence-only-apk-task	current Totentanz native atlas frame	official-cn-pixel-source	D:\magia\MyProducts\MAGIA RECORD CN\origin_apktool_decoded\assets\package\quest\quest_image0.png	Skill Effect→技能内容	baked pixels bypass all engine text hooks	no	Must be migrated frame-by-frame in the APK/native asset pipeline; not a cn_js_update.zip file.
SEL-063	NATIVE_ATLAS_SOURCE	D:\magia\MyProducts\MagiaRe\Magia_CN_Project\totentanz_unpacked\assets\package\quest\quest_image0.png#skill_title_03.png	evidence-only-apk-task	current Totentanz native atlas frame	official-cn-pixel-source	D:\magia\MyProducts\MAGIA RECORD CN\origin_apktool_decoded\assets\package\quest\quest_image0.png	Turn(s) Until Available→冷却回合数	baked pixels bypass all engine text hooks	no	Must be migrated frame-by-frame in the APK/native asset pipeline; not a cn_js_update.zip file.
SEL-064	NATIVE_ATLAS_SOURCE	D:\magia\MyProducts\MagiaRe\Magia_CN_Project\totentanz_unpacked\assets\package\quest\quest_image0.png#qus_memoria_notrelease.png	evidence-only-apk-task	current Totentanz native atlas frame	official-cn-pixel-source	D:\magia\MyProducts\MAGIA RECORD CN\origin_apktool_decoded\assets\package\quest\quest_image1.png	Not Equipped→未装备	baked pixels bypass all engine text hooks	no	Must be migrated frame-by-frame in the APK/native asset pipeline; not a cn_js_update.zip file.
