status	risk	file	key_or_line	field	original_text	final_cn	category	source_tier	source_path	reviewer_check	notes
待人工复核	中	magica/js/libs/sectionList.json	104207	outline	真昼明知恭介的伤无法治愈，仍发誓绝不让沙耶香签约，并相信自己有能力赢得她的信任。＠她利用重复轮回积累的经验，以及对沙耶香性格的了解，引导犹豫不决的沙耶香选择不签约。＠丘比却揭露真昼也是魔法少女，愤怒的沙耶香随即签下契约。＠真昼厌恶自己装作朋友操控沙耶香，但受到焰斥责后，向沙耶香倾诉全部真心，随后挑战魔女之夜并战死。	眩明知恭介的伤无法治愈，仍发誓绝不让沙耶香签约，并相信自己有能力赢得她的信任。＠她利用重复轮回积累的经验，以及对沙耶香性格的了解，引导犹豫不决的沙耶香选择不签约。＠丘比却揭露眩也是魔法少女，愤怒的沙耶香随即签下契约。＠眩厌恶自己装作朋友操控沙耶香，但受到焰斥责后，向沙耶香倾诉全部真心，随后挑战魔女之夜并战死。	Scene0人名一致性	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/characters.json:11109-11150	核对 愛生 まばゆ → 爱生眩；检查语境、标点与显示宽度	仅将目标人名替换为Wiki规范；其余正文逐字保持
待人工复核	中	magica/js/libs/sectionList.json	104208	outline	不断重复相同时间，让真昼感到自己与曾经亲近的人逐渐疏远。＠她剪掉恭介迁怒沙耶香的记忆，消除了促使沙耶香签约的触发点，也削弱了小圆签约的理由。＠然而魔女之夜来临当天，小圆看见焰的模样后，仍与丘比签约。此时，她身上已经累积了足够丘比完成大部分能量回收目标的庞大因果。	不断重复相同时间，让眩感到自己与曾经亲近的人逐渐疏远。＠她剪掉恭介迁怒沙耶香的记忆，消除了促使沙耶香签约的触发点，也削弱了小圆签约的理由。＠然而魔女之夜来临当天，小圆看见焰的模样后，仍与丘比签约。此时，她身上已经累积了足够丘比完成大部分能量回收目标的庞大因果。	Scene0人名一致性	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/characters.json:11109-11150	核对 愛生 まばゆ → 爱生眩；检查语境、标点与显示宽度	仅将目标人名替换为Wiki规范；其余正文逐字保持
待人工复核	中	magica/js/libs/sectionList.json	104209	outline	要避免小圆签约，就必须打倒魔女之夜。真昼被视作关键的未来视能力，再加上焰的训练，让两人能够高效讨伐魔女，尽可能储备悲叹之种。＠即便如此，她们仍无法跨越魔女之夜。＠这段时期，真昼开始不断思考：自己究竟是为了什么而战。	要避免小圆签约，就必须打倒魔女之夜。眩被视作关键的未来视能力，再加上焰的训练，让两人能够高效讨伐魔女，尽可能储备悲叹之种。＠即便如此，她们仍无法跨越魔女之夜。＠这段时期，眩开始不断思考：自己究竟是为了什么而战。	Scene0人名一致性	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/characters.json:11109-11150	核对 愛生 まばゆ → 爱生眩；检查语境、标点与显示宽度	仅将目标人名替换为Wiki规范；其余正文逐字保持
待人工复核	中	magica/js/libs/sectionList.json	104210	outline	真昼逐渐具备战斗能力，在焰建议下，为获得更多悲叹之种开始远征。＠她们在远征地打倒魔女后遇见杏子。杏子因自己的风见野地盘遭侵入而愤怒，对焰发动猛攻。真昼为保护焰冲上前，被杏子攻击而死。	眩逐渐具备战斗能力，在焰建议下，为获得更多悲叹之种开始远征。＠她们在远征地打倒魔女后遇见杏子。杏子因自己的风见野地盘遭侵入而愤怒，对焰发动猛攻。眩为保护焰冲上前，被杏子攻击而死。	Scene0人名一致性	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/characters.json:11109-11150	核对 愛生 まばゆ → 爱生眩；检查语境、标点与显示宽度	仅将目标人名替换为Wiki规范；其余正文逐字保持
待人工复核	中	magica/js/libs/sectionList.json	104211	outline	真昼与焰继续为打倒魔女之夜收集悲叹之种。真昼已经能够独自讨伐魔女，焰也学会躲避杏子、提高行动效率。＠真昼最终认为，自己之所以赌命与魔女战斗，是因为一直憧憬焰，于是继续准备迎战魔女之夜。＠然而小圆再次以魔法少女之姿打倒魔女之夜，随后化为魔女。丘比理解这只魔女为何不断成长，并表示真昼也可能成为小圆的替代者。	眩与焰继续为打倒魔女之夜收集悲叹之种。眩已经能够独自讨伐魔女，焰也学会躲避杏子、提高行动效率。＠眩最终认为，自己之所以赌命与魔女战斗，是因为一直憧憬焰，于是继续准备迎战魔女之夜。＠然而小圆再次以魔法少女之姿打倒魔女之夜，随后化为魔女。丘比理解这只魔女为何不断成长，并表示眩也可能成为小圆的替代者。	Scene0人名一致性	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/characters.json:11109-11150	核对 愛生 まばゆ → 爱生眩；检查语境、标点与显示宽度	仅将目标人名替换为Wiki规范；其余正文逐字保持
待人工复核	中	magica/js/libs/sectionList.json	104212	outline	真昼提议把麻美拉入伙伴，却遭焰一口拒绝。后来，她想删除麻美得知魔女化真相的记忆，却在麻美心中看见一个自己完全不认识的“真昼”——那是与麻美并肩战斗，同时招募少女成为魔法少女、最终让她们化作魔女的罪恶记忆。＠真昼因只有自己删除过记忆的事实陷入低谷，是小圆救了她。通过小圆的愿望，她看见失落的第一轮回，以及所有人都能获救的未来。第一轮回中的真昼为了走向那条未来，曾删除自己与丘比关于魔法少女的记忆。＠恢复全部记忆后，真昼为拯救麻美再次删除记忆，挑战魔女之夜，并迈向最后一次轮回……	眩提议把麻美拉入伙伴，却遭焰一口拒绝。后来，她想删除麻美得知魔女化真相的记忆，却在麻美心中看见一个自己完全不认识的“眩”——那是与麻美并肩战斗，同时招募少女成为魔法少女、最终让她们化作魔女的罪恶记忆。＠眩因只有自己删除过记忆的事实陷入低谷，是小圆救了她。通过小圆的愿望，她看见失落的第一轮回，以及所有人都能获救的未来。第一轮回中的眩为了走向那条未来，曾删除自己与丘比关于魔法少女的记忆。＠恢复全部记忆后，眩为拯救麻美再次删除记忆，挑战魔女之夜，并迈向最后一次轮回……	Scene0人名一致性	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/characters.json:11109-11150	核对 愛生 まばゆ → 爱生眩；检查语境、标点与显示宽度	仅将目标人名替换为Wiki规范；其余正文逐字保持
待人工复核	中	magica/js/libs/sectionList.json	104213	outline	真昼提议把麻美拉入伙伴，却遭焰一口拒绝。后来，她想删除麻美得知魔女化真相的记忆，却在麻美心中看见一个自己完全不认识的“真昼”——那是与麻美并肩战斗，同时招募少女成为魔法少女、最终让她们化作魔女的罪恶记忆。＠真昼因只有自己删除过记忆的事实陷入低谷，是小圆救了她。通过小圆的愿望，她看见失落的第一轮回，以及所有人都能获救的未来。第一轮回中的真昼为了走向那条未来，曾删除自己与丘比关于魔法少女的记忆。＠恢复全部记忆后，真昼为拯救麻美再次删除记忆，挑战魔女之夜，并迈向最后一次轮回……	眩提议把麻美拉入伙伴，却遭焰一口拒绝。后来，她想删除麻美得知魔女化真相的记忆，却在麻美心中看见一个自己完全不认识的“眩”——那是与麻美并肩战斗，同时招募少女成为魔法少女、最终让她们化作魔女的罪恶记忆。＠眩因只有自己删除过记忆的事实陷入低谷，是小圆救了她。通过小圆的愿望，她看见失落的第一轮回，以及所有人都能获救的未来。第一轮回中的眩为了走向那条未来，曾删除自己与丘比关于魔法少女的记忆。＠恢复全部记忆后，眩为拯救麻美再次删除记忆，挑战魔女之夜，并迈向最后一次轮回……	Scene0人名一致性	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/characters.json:11109-11150	核对 愛生 まばゆ → 爱生眩；检查语境、标点与显示宽度	仅将目标人名替换为Wiki规范；其余正文逐字保持
待人工复核	中	magica/js/libs/sectionList.json	104214	outline	真昼提议把麻美拉入伙伴，却遭焰一口拒绝。后来，她想删除麻美得知魔女化真相的记忆，却在麻美心中看见一个自己完全不认识的“真昼”——那是与麻美并肩战斗，同时招募少女成为魔法少女、最终让她们化作魔女的罪恶记忆。＠真昼因只有自己删除过记忆的事实陷入低谷，是小圆救了她。通过小圆的愿望，她看见失落的第一轮回，以及所有人都能获救的未来。第一轮回中的真昼为了走向那条未来，曾删除自己与丘比关于魔法少女的记忆。＠恢复全部记忆后，真昼为拯救麻美再次删除记忆，挑战魔女之夜，并迈向最后一次轮回……	眩提议把麻美拉入伙伴，却遭焰一口拒绝。后来，她想删除麻美得知魔女化真相的记忆，却在麻美心中看见一个自己完全不认识的“眩”——那是与麻美并肩战斗，同时招募少女成为魔法少女、最终让她们化作魔女的罪恶记忆。＠眩因只有自己删除过记忆的事实陷入低谷，是小圆救了她。通过小圆的愿望，她看见失落的第一轮回，以及所有人都能获救的未来。第一轮回中的眩为了走向那条未来，曾删除自己与丘比关于魔法少女的记忆。＠恢复全部记忆后，眩为拯救麻美再次删除记忆，挑战魔女之夜，并迈向最后一次轮回……	Scene0人名一致性	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/characters.json:11109-11150	核对 愛生 まばゆ → 爱生眩；检查语境、标点与显示宽度	仅将目标人名替换为Wiki规范；其余正文逐字保持
待人工复核	中	magica/js/libs/sectionList.json	104216	outline	“除自己以外的时间全部停止”……爱生真昼开始被意外发动的时间停止玩弄。此后，她经历了治愈濒死猫咪艾米、时间停止后发生爆炸、进入结界等事件，一直寻找时间停止的原因。＠真昼追踪能够在静止时间中行动的人，目击同班同学巴麻美，并被卷入佐仓杏子、晓美焰、鹿目圆等少女的激烈战斗，由此得知魔女与魔法少女的存在。＠她再次进入结界，想从这些人身上寻找时间停止的原因，却遭魔女手下杀害。	“除自己以外的时间全部停止”……爱生眩开始被意外发动的时间停止玩弄。此后，她经历了治愈濒死猫咪艾米、时间停止后发生爆炸、进入结界等事件，一直寻找时间停止的原因。＠眩追踪能够在静止时间中行动的人，目击同班同学巴麻美，并被卷入佐仓杏子、晓美焰、鹿目圆等少女的激烈战斗，由此得知魔女与魔法少女的存在。＠她再次进入结界，想从这些人身上寻找时间停止的原因，却遭魔女手下杀害。	Scene0人名一致性	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/characters.json:11109-11150	核对 愛生 まばゆ → 爱生眩；检查语境、标点与显示宽度	仅将目标人名替换为Wiki规范；其余正文逐字保持
待人工复核	中	magica/js/libs/sectionList.json	104217	outline	真昼提议把麻美拉入伙伴，却遭焰一口拒绝。后来，她想删除麻美得知魔女化真相的记忆，却在麻美心中看见一个自己完全不认识的“真昼”——那是与麻美并肩战斗，同时招募少女成为魔法少女、最终让她们化作魔女的罪恶记忆。＠真昼因只有自己删除过记忆的事实陷入低谷，是小圆救了她。通过小圆的愿望，她看见失落的第一轮回，以及所有人都能获救的未来。第一轮回中的真昼为了走向那条未来，曾删除自己与丘比关于魔法少女的记忆。＠恢复全部记忆后，真昼为拯救麻美再次删除记忆，挑战魔女之夜，并迈向最后一次轮回……	眩提议把麻美拉入伙伴，却遭焰一口拒绝。后来，她想删除麻美得知魔女化真相的记忆，却在麻美心中看见一个自己完全不认识的“眩”——那是与麻美并肩战斗，同时招募少女成为魔法少女、最终让她们化作魔女的罪恶记忆。＠眩因只有自己删除过记忆的事实陷入低谷，是小圆救了她。通过小圆的愿望，她看见失落的第一轮回，以及所有人都能获救的未来。第一轮回中的眩为了走向那条未来，曾删除自己与丘比关于魔法少女的记忆。＠恢复全部记忆后，眩为拯救麻美再次删除记忆，挑战魔女之夜，并迈向最后一次轮回……	Scene0人名一致性	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/characters.json:11109-11150	核对 愛生 まばゆ → 爱生眩；检查语境、标点与显示宽度	仅将目标人名替换为Wiki规范；其余正文逐字保持
待人工复核	高	magica/js/libs/sectionList.json	310513	message	只要是为了保护多尔玛……＠我就……	只要是为了保护卓玛……＠我就……	专名权威化	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/characters.json:15087-15152	核对 ヘルカ → 赫露迦；ドルマ → 卓玛；检查语境、标点与显示宽度	官方2022 dump不覆盖该后续角色/文本，采用Wiki层；不改对象结构
待人工复核	高	magica/js/libs/sectionList.json	310514	title	赫尔卡的 Doppel	赫露迦的 Doppel	专名权威化	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/doppel.json:3412-3415	核对 赫露迦；检查语境、标点与显示宽度	官方2022 dump不覆盖该后续角色/文本，采用Wiki层；不改对象结构
待人工复核	高	magica/js/libs/sectionList.json	310524	title	丰的 Doppel	台与的 Doppel	专名权威化	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/doppel.json:926-929	核对 台与；检查语境、标点与显示宽度	官方2022 dump不覆盖该后续角色/文本，采用Wiki层；不改对象结构
待人工复核	高	magica/js/libs/sectionList.json	310534	title	阿玛莉莉丝的 Doppel	阿玛琉莉丝的 Doppel	专名权威化	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/doppel.json:3522-3525	核对 阿玛琉莉丝；检查语境、标点与显示宽度	官方2022 dump不覆盖该后续角色/文本，采用Wiki层；不改对象结构
待人工复核	高	magica/js/libs/sectionList.json	320094	title	麻友的试炼	眩的试炼	专名权威化	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/characters.json:11109-11150	核对 愛生 まばゆ → 爱生眩；检查语境、标点与显示宽度	官方2022 dump不覆盖该后续角色/文本，采用Wiki层；不改对象结构
