item_id	target_path	before	after	before_count	baseline_after_count	evidence_locator	match_method
LOW-MT-01843	magica/js/event/accomplish/EventAccomplishRecovery.js	所选的魔法少女已回复完成	所选中的魔法少女已经回复完毕	1	0	official js/event/accomplish/EventAccomplishRecovery.js	same-path-context-literal-alignment
LOW-MT-01844	magica/template/formation/FormationQuest.html	魔法少女的详细信息	魔法少女的详细资讯	1	0	official template/formation/FormationQuest.html	exact-path-dom-match
LOW-MT-01844	magica/template/formation/FormationSupport.html	魔法少女的详细信息	魔法少女的详细资讯	1	0	official template/formation/FormationQuest.html	exact-path-dom-match
LOW-MT-01856	magica/js/quest/QuestUtil.js	该关卡有以下开始条件\x3cbr\x3e	此副本必须满足以下条件才能开始\x3cbr\x3e	1	0	official js/quest/QuestUtil.js	same-path-context-literal-alignment
LOW-MT-01864	magica/js/event/training/EventTrainingTop.js	战斗 ◆ 上级	BATTLE ◆ 上级	1	0	official js/event/training/EventTrainingTop.js	same-path-context-literal-alignment
LOW-MT-01868	magica/js/_common/nativeCommand.js	将命运宝石转换为魔法碎片	将命运宝石转换为魔法晶片	1	0	official js/_common/nativeCommand.js	same-object-order-context-match
LOW-MT-01877	magica/template/event/dungeon/EventDungeonTop.html	通关(已获得·未集齐)	通关（已通、未满星）	1	0	official template/event/dungeon/EventDungeonTop.html	exact-path-dom-match
LOW-MT-01879	magica/template/event/storyraid/EventStoryRaidTop.html	保持示例	按示例内容发送	1	0	official template/event/storyraid/EventStoryRaidTop.html	exact-path-dom-match
LOW-MT-01887	magica/js/_common/nativeCommand.js	选择 3 张圆盘时@每次都可以更改目标	选择3枚行动盘时@每次都可以变更攻击目标	1	0	official js/_common/nativeCommand.js	same-object-order-context-match
LOW-MT-01887	magica/js/_common/nativeCommand2.js	选择 3 张圆盘时@每次都可以更改目标	选择3枚行动盘时@每次都可以变更攻击目标	1	0	official js/_common/nativeCommand.js	same-object-order-context-match
LOW-MT-01888	magica/js/_common/nativeCommand.js	※视频数据也可以稍后下载。\n※建议在Wi-Fi环境下下载。	※影片资料也可以之后再下载。\n※建议在Wi-Fi模式下进行下载。	1	0	official js/_common/nativeCommand.js	same-object-order-context-match
LOW-MT-01889	magica/template/chara/CharaComposeMagia.html	Magia强化	魔法强化	1	0	official template/chara/CharaComposeMagia.html	exact-path-dom-match
LOW-MT-01893	magica/js/formation/DeckFormation.js	编成复制确认	复制编队确认	1	0	official js/formation/DeckFormation.js	same-path-context-literal-alignment
LOW-MT-01909	magica/js/_common/nativeCommand.js	阵形前排更容易受到敌人攻击@请配置防御力高的魔法少女	由于阵形前列易受敌人攻击@请将防御力高的魔法少女配置在前列	1	0	official js/_common/nativeCommand.js	same-object-order-context-match
LOW-MT-01909	magica/js/_common/nativeCommand2.js	阵形前排更容易受到敌人攻击@请配置防御力高的魔法少女	由于阵形前列易受敌人攻击@请将防御力高的魔法少女配置在前列	1	0	official js/_common/nativeCommand.js	same-object-order-context-match
LOW-MT-01910	magica/js/memoria/MemoriaEquip.js	记忆结晶套装的内容已变更。	记忆结晶组合的内容已更改。	1	0	official js/memoria/MemoriaEquip.js	same-path-context-literal-alignment
LOW-MT-01928	magica/js/event/branch/EventBranchTop.js	<span>或</span>	<span>或者</span>	1	0	official js/event/branch/EventBranchTop.js	same-path-context-literal-alignment
LOW-MT-01934	magica/js/_common/nativeCommand.js	Blast 圆盘越是在第 2 张、第 3 张@攻击时伤害越高	使用第2、第3枚Blast行动盘@攻击时的伤害增大	1	0	official js/_common/nativeCommand.js	same-object-order-context-match
LOW-MT-01934	magica/js/_common/nativeCommand2.js	Blast 圆盘越是在第 2 张、第 3 张@攻击时伤害越高	使用第2、第3枚Blast行动盘@攻击时的伤害增大	1	0	official js/_common/nativeCommand.js	same-object-order-context-match
LOW-MT-01943	magica/js/util/TutorialUtil.js	\x3cp\x3e扭蛋可以获得魔法少女和记忆结晶\x3cbr\x3e我们准备了必得1个自选魔法少女的扭蛋\x3cbr\x3e来选一个喜欢的魔法少女吧\x3c/p\x3e	\x3cp\x3e在扭蛋中可以获得魔法少女或记忆结晶\x3cbr\x3e另外还特意准备了必出1名可选魔法少女的扭蛋\x3cbr\x3e从中选择您喜欢的魔法少女吧\x3c/p\x3e	1	0	official js/util/TutorialUtil.js	same-path-context-literal-alignment
