item_id	source_index	stable_business_key	source_key	source_text	current_cn	ds_suggested_cn	adopted_cn	adoption_kind	runtime_strategy	explicit_rewrites_json	machine_origin	authority_tier	review_status	evidence
LOW-MT-00688	382	i18n/frontend-strings.tsv#3bb01e48285e8bb66d7afc52/candidate_cn	3bb01e48285e8bb66d7afc52	また、登録情報は年齢確認以外に使用しません。	此外,登记的信息不会用于年龄确认以外的用途。	此外，登记的信息不会用于年龄确认以外的用途。	此外，登记的信息不会用于年龄确认以外的用途。	suggestion-verbatim	target-manifest-exact	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-00703	397	i18n/frontend-strings.tsv#3eaccb7e31f5ee6e35aec49f/candidate_cn	3eaccb7e31f5ee6e35aec49f	入力されたシリアルコードは有効期間外です。	输入的兑换码已过有效期。	输入的兑换码不在有效期内。	输入的兑换码不在有效期内。	suggestion-verbatim	target-manifest-exact	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-00852	546	i18n/frontend-strings.tsv#54a1718011043f8ded657903/candidate_cn	54a1718011043f8ded657903	\\nアリーナスタブページへ遷移します。	\\\n即将跳转至镜界占位页。	\\n即将跳转至镜界占位页。	\\\n即将跳转至镜界占位页。	suggestion-structure-normalized	canonical-only	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-01015	709	i18n/frontend-strings.tsv#6c348c63b69ed6c769144884/candidate_cn	6c348c63b69ed6c769144884	を行います。	进行中。	将进行。	将进行。	suggestion-verbatim	canonical-only	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-01095	789	i18n/frontend-strings.tsv#785e28a5f9f665de85559323/candidate_cn	785e28a5f9f665de85559323	鏡の魔女との戦いに編成されていない魔法少女が、\\x3cbr\\x3e1体以上編成されているチームを選択してください。	请选择编有1个以上\\x3cbr\\x3e未编入镜之魔女战斗的魔法少女的队伍。	请选择编有\\x3cbr\\x3e1个以上未编入镜之魔女战斗的魔法少女的队伍。	请选择编有\\x3cbr\\x3e1个以上未编入镜之魔女战斗的魔法少女的队伍。	suggestion-verbatim	target-manifest-exact	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-01200	894	i18n/frontend-strings.tsv#874d5b487374e61242a79465/candidate_cn	874d5b487374e61242a79465	\\nイベントアリーナスタブページへ遷移します。	\\\n即将跳转至活动镜界占位页。	\n即将跳转至活动镜界占位页。	\\\n即将跳转至活动镜界占位页。	suggestion-context-corrected	canonical-only	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-01248	942	i18n/frontend-strings.tsv#8fd26703f47ca3701b76e131/candidate_cn	8fd26703f47ca3701b76e131	\\x3c/span\\x3eに移動します。\\x3cbr\\x3eよろしいですか？	\\x3c/span\\x3e。\\x3cbr\\x3e确定吗?	\x3c/span\x3e。\x3cbr\x3e确定移动吗?	\\x3c/span\\x3e。\\x3cbr\\x3e确定要移动吗？	suggestion-context-corrected	canonical-only	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-01294	988	i18n/frontend-strings.tsv#9828bc5b7c0b39c19ca5f319/candidate_cn	9828bc5b7c0b39c19ca5f319	人以上の魔法少女が\\x3cbr\\x3e編成に含まれている必要があります。	人以上的魔法少女\\x3cbr\\x3e编在队伍中。	人以上の魔法少女\x3cbr\x3e必须包含在编成中。	名以上魔法少女\\x3cbr\\x3e组成的队伍。	suggestion-context-corrected	target-manifest-exact	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-01378	1072	i18n/frontend-strings.tsv#a3c809492eb4ae5f8fa03af9/candidate_cn	a3c809492eb4ae5f8fa03af9	)\\x3c/span\\x3eを選択しています。\\x3cbr\\x3e	)\\x3c/span\\x3e。\\x3cbr\\x3e	)\x3c/span\x3e正在选择。\x3cbr\x3e	)\\x3c/span\\x3e已被选中。\\x3cbr\\x3e	suggestion-context-corrected	target-manifest-exact	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-01426	1120	i18n/frontend-strings.tsv#ac12782df2b63aa86553e736/candidate_cn	ac12782df2b63aa86553e736	個</span>不足しているため<br>クールタイムを解除できません。	个</span>,<br>无法解除冷却时间。	个</span>不足,<br>无法解除冷却时间。	个</span>仍不足以<br>解除冷却时间。	suggestion-context-corrected	target-manifest-exact	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-01446	1140	i18n/frontend-strings.tsv#aeb10e2669040ba4ee914a10/candidate_cn	aeb10e2669040ba4ee914a10	人未満の魔法少女の\\x3cbr\\x3e編成である必要があります。	人以下的魔法少女\\x3cbr\\x3e编成。	人未满的魔法少女\x3cbr\x3e编成是必须的。	名以内的魔法少女\\x3cbr\\x3e组成队伍。	suggestion-context-corrected	target-manifest-exact	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-01496	1190	i18n/frontend-strings.tsv#b7936ca12f2dfd4c596bf49b/candidate_cn	b7936ca12f2dfd4c596bf49b	アップ！	!	提升!	！	suggestion-context-corrected	target-manifest-exact	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-01519	1213	i18n/frontend-strings.tsv#b9b6bbf3638051a07019bcd4/candidate_cn	b9b6bbf3638051a07019bcd4	】<br>している必要があります。	】<br>。	】<br>的状态。	】<br>这一条件。	suggestion-context-corrected	target-manifest-exact	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-01538	1232	i18n/frontend-strings.tsv#bc5124298f233c2232bd1ad4/candidate_cn	bc5124298f233c2232bd1ad4	まで開催します。<br><br>イベントに参加するためには<br>【	为止。<br><br>参加活动需要<br>【	为止举办。<br><br>参加活动需要<br>【	截止。<br><br>参加活动需要满足<br>【	suggestion-context-corrected	target-manifest-exact	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-01584	1278	i18n/frontend-strings.tsv#c4747aa218a1d90135846d00/candidate_cn	c4747aa218a1d90135846d00	ガチャ提供一覧	抽卡概率一览	扭蛋提供一览	扭蛋提供一览	suggestion-verbatim	explicit-safe-paths	"[{""path"":""js/gacha/GachaProbability.js"",""before"":""抽卡概率一览"",""after"":""扭蛋提供一览"",""expected_count"":1}]"	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-01591	1285	i18n/frontend-strings.tsv#c5ca08622db5c34f61bacc67/candidate_cn	c5ca08622db5c34f61bacc67	クリア済のステージでは	已通关的关卡点	在已通关的关卡中	在已通关的关卡中	suggestion-verbatim	target-manifest-exact	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-01672	1366	i18n/frontend-strings.tsv#d44dc0d78733412e661d8ad0/candidate_cn	d44dc0d78733412e661d8ad0	\\x3c/span\\x3eを選択しています。\\x3cbr\\x3e	\\x3c/span\\x3e。\\x3cbr\\x3e	\x3c/span\x3e正在选择。\x3cbr\x3e	\\x3c/span\\x3e已被选中。\\x3cbr\\x3e	suggestion-context-corrected	target-manifest-exact	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-01685	1379	i18n/frontend-strings.tsv#d5d45daac7c5b5b4dc1f5334/candidate_cn	d5d45daac7c5b5b4dc1f5334	保管庫	仓库	保管库	保管库	suggestion-verbatim	explicit-safe-paths	"[{""path"":""js/view/memoria/UserMemoriaListView.js"",""before"":""仓库"",""after"":""保管库"",""expected_count"":2},{""path"":""template/memoria/PieceArchive.html"",""before"":""仓库"",""after"":""保管库"",""expected_count"":1}]"	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-01699	1393	i18n/frontend-strings.tsv#d79444e116b06edb10e37555/candidate_cn	d79444e116b06edb10e37555	ランキング報酬	排名奖励	排行榜报酬	排行榜报酬	suggestion-verbatim	target-manifest-exact	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
