item_id	source_index	current_cn_before_ds	ds_suggested_cn	final_status	official_final_cn	adopted_final_cn	machine_origin	authority_tier	review_status	ds_suggestion_matches_official	current_candidate_state	product_target_status	product_match_count	application_allowed	evidence
LOW-MT-00685	379	的记忆结晶。	的记忆结晶获得。	user-directed-suggestion-adopted		的记忆结晶即将到手。	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted		machine-origin-adopted-in-canonical-and-product	target-manifest-exact	1	true	Pass21 tracked adoption manifest; canonical effective winner and allowlisted runtime materialization verified; machine origin and legacy authority retained
LOW-MT-00688	382	此外,登记的信息不会用于年龄确认以外的用途。	此外，登记的信息不会用于年龄确认以外的用途。	user-directed-suggestion-adopted		此外，登记的信息不会用于年龄确认以外的用途。	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted		machine-origin-adopted-in-canonical-and-product	target-manifest-exact	1	true	Pass21 tracked adoption manifest; canonical effective winner and allowlisted runtime materialization verified; machine origin and legacy authority retained
LOW-MT-00700	394	·进行不正当访问,给本服务或其他用户造成不利影响的行为。	・进行不正当访问、给本服务或其他用户造成不利影响的行为。	official-cn-applied	·进行不正当使用，对本服务及其他用户造成不利影响的行为。	·进行不正当使用，对本服务及其他用户造成不利影响的行为。	false	official_cn_dump	official-source-verified	false	official-authority-applied-and-verified	authority-resolved-before-final-queue		false	pass20_official_static_review.tsv:LOW-MT-00700; official same-path evidence=template/user/Ban.html
LOW-MT-00703	397	输入的兑换码已过有效期。	输入的兑换码不在有效期内。	user-directed-suggestion-adopted		输入的兑换码不在有效期内。	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted		machine-origin-adopted-in-canonical-and-product	target-manifest-exact	1	true	Pass21 tracked adoption manifest; canonical effective winner and allowlisted runtime materialization verified; machine origin and legacy authority retained
LOW-MT-00784	478	【违规行为】	【适用行为】	official-cn-applied	【视为处理对象的行为】	【视为处理对象的行为】	false	official_cn_dump	official-source-verified	false	official-authority-applied-and-verified	authority-resolved-before-final-queue		false	pass20_official_static_review.tsv:LOW-MT-00784; official same-path evidence=template/user/Ban.html
LOW-MT-00852	546	\\\n即将跳转至镜界占位页。	\\n即将跳转至镜界占位页。	user-directed-suggestion-adopted		\\\n即将跳转至镜界占位页。	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted		machine-origin-adopted-in-canonical-maintenance-only	canonical-only	0	false	Pass21 tracked adoption manifest; canonical effective winner and allowlisted runtime materialization verified; machine origin and legacy authority retained
LOW-MT-01015	709	进行中。	将进行。	user-directed-suggestion-adopted		将进行。	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted		machine-origin-adopted-in-canonical-maintenance-only	canonical-only	0	false	Pass21 tracked adoption manifest; canonical effective winner and allowlisted runtime materialization verified; machine origin and legacy authority retained
LOW-MT-01090	784	多余的命运宝石@可以在道具列表界面和@魔力解放界面交换成魔法碎片	多余的命运宝石可以在道具列表界面和@魔力解放界面交换成魔法碎片	official-cn-applied	可以在道具列表页面和魔力解放页面@将多余的命运宝石转换为魔法晶片	可以在道具列表页面和魔力解放页面@将多余的命运宝石转换为魔法晶片	false	official_cn_dump	official-source-verified	false	official-authority-applied-and-verified	authority-resolved-before-final-queue		false	pass20_official_static_review.tsv:LOW-MT-01090; official same-path evidence=js/_common/nativeCommand.js
LOW-MT-01095	789	请选择编有1个以上\\x3cbr\\x3e未编入镜之魔女战斗的魔法少女的队伍。	请选择编有\\x3cbr\\x3e1个以上未编入镜之魔女战斗的魔法少女的队伍。	user-directed-suggestion-adopted		请选择编有\\x3cbr\\x3e1个以上未编入镜之魔女战斗的魔法少女的队伍。	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted		machine-origin-adopted-in-canonical-and-product	target-manifest-exact	1	true	Pass21 tracked adoption manifest; canonical effective winner and allowlisted runtime materialization verified; machine origin and legacy authority retained
LOW-MT-01200	894	\\\n即将跳转至活动镜界占位页。	\n即将跳转至活动镜界占位页。	user-directed-suggestion-adopted		\\\n即将跳转至活动镜界占位页。	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted		machine-origin-adopted-in-canonical-maintenance-only	canonical-only	0	false	Pass21 tracked adoption manifest; canonical effective winner and allowlisted runtime materialization verified; machine origin and legacy authority retained
LOW-MT-01239	933	\\x3cbr\\x3e的队伍开始关卡	\x3cbr\x3e包含的队伍开始关卡	official-cn-applied	<br>所在的队伍才能开始副本	<br>所在的队伍才能开始副本	false	official_cn_dump	official-source-verified	false	official-authority-applied-and-verified	authority-resolved-before-final-queue		false	pass20_official_static_review.tsv:LOW-MT-01239; official same-path evidence=js/quest/QuestUtil.js
LOW-MT-01248	942	\\x3c/span\\x3e。\\x3cbr\\x3e确定吗?	\x3c/span\x3e。\x3cbr\x3e确定移动吗?	user-directed-suggestion-adopted		\\x3c/span\\x3e。\\x3cbr\\x3e确定要移动吗？	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted		machine-origin-adopted-in-canonical-maintenance-only	canonical-only	0	false	Pass21 tracked adoption manifest; canonical effective winner and allowlisted runtime materialization verified; machine origin and legacy authority retained
LOW-MT-01294	988	人以上的魔法少女\\x3cbr\\x3e编在队伍中。	人以上の魔法少女\x3cbr\x3e必须包含在编成中。	user-directed-suggestion-adopted		名以上魔法少女\\x3cbr\\x3e组成的队伍。	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted		machine-origin-adopted-in-canonical-and-product	target-manifest-exact	2	true	Pass21 tracked adoption manifest; canonical effective winner and allowlisted runtime materialization verified; machine origin and legacy authority retained
LOW-MT-01378	1072	)\\x3c/span\\x3e。\\x3cbr\\x3e	)\x3c/span\x3e正在选择。\x3cbr\x3e	user-directed-suggestion-adopted		)\\x3c/span\\x3e已被选中。\\x3cbr\\x3e	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted		machine-origin-adopted-in-canonical-and-product	target-manifest-exact	1	true	Pass21 tracked adoption manifest; canonical effective winner and allowlisted runtime materialization verified; machine origin and legacy authority retained
LOW-MT-01426	1120	个</span>,<br>无法解除冷却时间。	个</span>不足,<br>无法解除冷却时间。	user-directed-suggestion-adopted		个</span>仍不足以<br>解除冷却时间。	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted		machine-origin-adopted-in-canonical-and-product	target-manifest-exact	1	true	Pass21 tracked adoption manifest; canonical effective winner and allowlisted runtime materialization verified; machine origin and legacy authority retained
LOW-MT-01446	1140	人以下的魔法少女\\x3cbr\\x3e编成。	人未满的魔法少女\x3cbr\x3e编成是必须的。	user-directed-suggestion-adopted		名以内的魔法少女\\x3cbr\\x3e组成队伍。	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted		machine-origin-adopted-in-canonical-and-product	target-manifest-exact	1	true	Pass21 tracked adoption manifest; canonical effective winner and allowlisted runtime materialization verified; machine origin and legacy authority retained
LOW-MT-01485	1179	心情战	心魔战	official-cn-existing-authority	心魔战	心魔战	false	official_cn_dump	official-source-verified	true	official-authority-preexisting-and-verified	authority-resolved-before-final-queue		false	i18n/reviewed-candidates.tsv:6; i18n/generated/effective.tsv:1256; exact source key キモチ戦は; official-source-verified; runtime 心情战=0, 心魔战=8
LOW-MT-01496	1190	!	提升!	user-directed-suggestion-adopted		！	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted		machine-origin-adopted-in-canonical-and-product	target-manifest-exact	1	true	Pass21 tracked adoption manifest; canonical effective winner and allowlisted runtime materialization verified; machine origin and legacy authority retained
LOW-MT-01519	1213	】<br>。	】<br>的状态。	user-directed-suggestion-adopted		】<br>这一条件。	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted		machine-origin-adopted-in-canonical-and-product	target-manifest-exact	1	true	Pass21 tracked adoption manifest; canonical effective winner and allowlisted runtime materialization verified; machine origin and legacy authority retained
LOW-MT-01538	1232	为止。<br><br>参加活动需要<br>【	为止举办。<br><br>参加活动需要<br>【	user-directed-suggestion-adopted		截止。<br><br>参加活动需要满足<br>【	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted		machine-origin-adopted-in-canonical-and-product	target-manifest-exact	1	true	Pass21 tracked adoption manifest; canonical effective winner and allowlisted runtime materialization verified; machine origin and legacy authority retained
LOW-MT-01540	1234	魔法等级	Magia等级	official-cn-applied	Magia等级	Magia等级	false	official_cn_dump	official-source-verified	true	official-authority-applied-and-verified	authority-resolved-before-final-queue		false	pass20_official_static_review.tsv:LOW-MT-01540; official same-path evidence=js/_common/nativeCommand.js;js/event/accomplish/EventAccomplishRecovery.js
LOW-MT-01580	1274	」。\\x3c/br\\x3e	」将被覆盖。\x3c/br\x3e	official-cn-applied	」将覆盖</br>	」将覆盖</br>	false	official_cn_dump	official-source-verified	false	official-authority-applied-and-verified	authority-resolved-before-final-queue		false	pass20_official_static_review.tsv:LOW-MT-01580; official same-path evidence=js/memoria/MemoriaSetEquip.js
LOW-MT-01584	1278	抽卡概率一览	扭蛋提供一览	user-directed-suggestion-adopted		扭蛋提供一览	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted		machine-origin-adopted-in-canonical-and-product	explicit-safe-paths	1	true	Pass21 tracked adoption manifest; canonical effective winner and allowlisted runtime materialization verified; machine origin and legacy authority retained
LOW-MT-01591	1285	已通关的关卡点	在已通关的关卡中	user-directed-suggestion-adopted		在已通关的关卡中	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted		machine-origin-adopted-in-canonical-and-product	target-manifest-exact	2	true	Pass21 tracked adoption manifest; canonical effective winner and allowlisted runtime materialization verified; machine origin and legacy authority retained
LOW-MT-01672	1366	\\x3c/span\\x3e。\\x3cbr\\x3e	\x3c/span\x3e正在选择。\x3cbr\x3e	user-directed-suggestion-adopted		\\x3c/span\\x3e已被选中。\\x3cbr\\x3e	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted		machine-origin-adopted-in-canonical-and-product	target-manifest-exact	1	true	Pass21 tracked adoption manifest; canonical effective winner and allowlisted runtime materialization verified; machine origin and legacy authority retained
LOW-MT-01685	1379	仓库	保管库	user-directed-suggestion-adopted		保管库	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted		machine-origin-adopted-in-canonical-and-product	explicit-safe-paths	3	true	Pass21 tracked adoption manifest; canonical effective winner and allowlisted runtime materialization verified; machine origin and legacy authority retained
LOW-MT-01699	1393	排名奖励	排行榜报酬	user-directed-suggestion-adopted		排行榜报酬	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted		machine-origin-adopted-in-canonical-and-product	target-manifest-exact	3	true	Pass21 tracked adoption manifest; canonical effective winner and allowlisted runtime materialization verified; machine origin and legacy authority retained
