item_id	resolution_kind	authority_tier	final_value	evidence	product_write_status
LOW-MT-01833	official-cn-applied	official_cn_dump	编辑留言	pass20_official_static_review.tsv:LOW-MT-01833; official same-path evidence=js/view/user/MyProfilePopup.js	equivalent-already-present
LOW-MT-01834	official-cn-applied	official_cn_dump	协助奖励	pass20_official_static_review.tsv:LOW-MT-01834; official same-path evidence=template/loginBonus/loginBonusPopupTemp.html	applied-and-verified
LOW-MT-01838	official-cn-applied	official_cn_dump	一并设置所有素材。	pass20_official_static_review.tsv:LOW-MT-01838; official same-path evidence=template/chara/CharaBulkCustomizePopup.html	applied-and-verified
LOW-MT-01843	official-cn-applied	official_cn_dump	所选中的魔法少女已经回复完毕	pass20_official_static_review.tsv:LOW-MT-01843; official same-path evidence=js/event/accomplish/EventAccomplishRecovery.js	applied-and-verified
LOW-MT-01844	official-cn-applied	official_cn_dump	魔法少女的详细资讯	pass20_official_static_review.tsv:LOW-MT-01844; official same-path evidence=template/formation/FormationQuest.html;template/formation/FormationSupport.html	applied-and-verified
LOW-MT-01848	official-cn-applied	official_cn_dump	关于关注	pass20_official_static_review.tsv:LOW-MT-01848; official same-path evidence=js/view/user/GlobalMenuView.js	equivalent-already-present
LOW-MT-01856	official-cn-applied	official_cn_dump	此副本必须满足以下条件才能开始<br>	pass20_official_static_review.tsv:LOW-MT-01856; official same-path evidence=js/quest/QuestUtil.js	applied-and-verified
LOW-MT-01859	official-cn-applied	official_cn_dump	魔力解放	pass20_official_static_review.tsv:LOW-MT-01859; official same-path evidence=js/event/accomplish/EventAccomplishRecovery.js	equivalent-already-present
LOW-MT-01864	official-cn-applied	official_cn_dump	BATTLE ◆ 上级	pass20_official_static_review.tsv:LOW-MT-01864; official same-path evidence=js/event/training/EventTrainingTop.js	applied-and-verified
LOW-MT-01868	official-cn-applied	official_cn_dump	将命运宝石转换为魔法晶片	pass20_official_static_review.tsv:LOW-MT-01868; official same-path evidence=js/_common/nativeCommand.js	applied-and-verified
LOW-MT-01874	official-cn-applied	official_cn_dump	付费魔法石	pass20_official_static_review.tsv:LOW-MT-01874; official same-path evidence=js/gacha/GachaResult.js	equivalent-already-present
LOW-MT-01877	official-cn-applied	official_cn_dump	通关（已通、未满星）	pass20_official_static_review.tsv:LOW-MT-01877; official same-path evidence=template/event/dungeon/EventDungeonTop.html	applied-and-verified
LOW-MT-01879	official-cn-applied	official_cn_dump	按示例内容发送	pass20_official_static_review.tsv:LOW-MT-01879; official same-path evidence=template/event/storyraid/EventStoryRaidTop.html	applied-and-verified
LOW-MT-01886	official-cn-applied	official_cn_dump	玩法	pass20_official_static_review.tsv:LOW-MT-01886; official same-path evidence=template/campaign/box_gacha/CampaignBoxGachaTop.html	equivalent-already-present
LOW-MT-01887	official-cn-applied	official_cn_dump	选择3枚行动盘时@每次都可以变更攻击目标	pass20_official_static_review.tsv:LOW-MT-01887; official same-path evidence=js/_common/nativeCommand.js	applied-and-verified
LOW-MT-01888	official-cn-applied	official_cn_dump	"※影片资料也可以之后再下载。
※建议在Wi-Fi模式下进行下载。"	pass20_official_static_review.tsv:LOW-MT-01888; official same-path evidence=js/_common/nativeCommand.js	applied-and-verified
LOW-MT-01889	official-cn-applied	official_cn_dump	魔法强化	pass20_official_static_review.tsv:LOW-MT-01889; official same-path evidence=template/chara/CharaComposeMagia.html	applied-and-verified
LOW-MT-01893	official-cn-applied	official_cn_dump	复制编队确认	pass20_official_static_review.tsv:LOW-MT-01893; official same-path evidence=js/formation/DeckFormation.js	applied-and-verified
LOW-MT-01899	official-cn-applied	official_cn_dump	开始	pass20_official_static_review.tsv:LOW-MT-01899; official same-path evidence=js/regularEvent/groupBattle/RegularEventGroupBattleSelectUnion.js	equivalent-already-present
LOW-MT-01909	official-cn-applied	official_cn_dump	由于阵形前列易受敌人攻击@请将防御力高的魔法少女配置在前列	pass20_official_static_review.tsv:LOW-MT-01909; official same-path evidence=js/_common/nativeCommand.js	applied-and-verified
LOW-MT-01910	official-cn-applied	official_cn_dump	记忆结晶组合的内容已更改。	pass20_official_static_review.tsv:LOW-MT-01910; official same-path evidence=js/memoria/MemoriaEquip.js	applied-and-verified
LOW-MT-01915	official-cn-applied	official_cn_dump	Accele性能提升	pass20_official_static_review.tsv:LOW-MT-01915; official same-path evidence=js/chara/CharaEnhancementTree.js	equivalent-already-present
LOW-MT-01920	official-cn-applied	official_cn_dump	抽取扭蛋	pass20_official_static_review.tsv:LOW-MT-01920; official same-path evidence=js/campaign/box_gacha/CampaignBoxGachaTop.js	equivalent-already-present
LOW-MT-01925	official-cn-applied	official_cn_dump	错误	pass20_official_static_review.tsv:LOW-MT-01925; official same-path evidence=js/camera/CameraTop.js	equivalent-already-present
LOW-MT-01927	official-cn-applied	official_cn_dump	稀有度	pass20_official_static_review.tsv:LOW-MT-01927; official same-path evidence=js/event/accomplish/EventAccomplishRecovery.js;js/quest/QuestUtil.js	equivalent-already-present
LOW-MT-01928	official-cn-applied	official_cn_dump	<span>或者</span>	pass20_official_static_review.tsv:LOW-MT-01928; official same-path evidence=js/event/branch/EventBranchTop.js	applied-and-verified
LOW-MT-01934	official-cn-applied	official_cn_dump	使用第2、第3枚Blast行动盘@攻击时的伤害增大	pass20_official_static_review.tsv:LOW-MT-01934; official same-path evidence=js/_common/nativeCommand.js	applied-and-verified
LOW-MT-01940	official-cn-applied	official_cn_dump	没有需要回复的魔法少女	pass20_official_static_review.tsv:LOW-MT-01940; official same-path evidence=template/event/accomplish/EventAccomplishRecovery.html	equivalent-already-present
LOW-MT-01943	official-cn-applied	official_cn_dump	<p>在扭蛋中可以获得魔法少女或记忆结晶<br>另外还特意准备了必出1名可选魔法少女的扭蛋<br>从中选择您喜欢的魔法少女吧</p>	pass20_official_static_review.tsv:LOW-MT-01943; official same-path evidence=js/util/TutorialUtil.js	applied-and-verified
LOW-MT-01485	official-cn-applied	official_cn_dump	心魔战	i18n/reviewed-candidates.tsv:6; i18n/generated/effective.tsv:1256; exact source key キモチ戦は; official-source-verified; runtime 心情战=0, 心魔战=8	equivalent-already-present
HISTORY-LLM-001	protected-history-retained	official-or-wiki	其姿态为天花	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102000/title	no-product-write-protected
HISTORY-LLM-002	protected-history-retained	official-or-wiki	这份感情的主人梦想着进入极乐，自身的根基却已被Doppel夺走。没有自我意识的这一Doppel只会将根探入地底汲取能量，直至绽出硕大的花朵。那花朵一旦包覆天空便欲求着吞没全部，如万华镜般播散出纷繁的纹理，夺走目击者们的思考能力，令其吸入漫天飞舞的微小花粉，带至极乐之境。人们会不断地向他人传唱那样的极乐之路，却无法知晓那是否便是真正的幸福。无论做什么都无法将Doppel停止，但只要将根拔出便会顷刻之间枯萎消失。	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102000/description	no-product-write-protected
HISTORY-LLM-003	protected-history-retained	official-or-wiki	责罚的魔女化身	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102100/name	no-product-write-protected
HISTORY-LLM-004	protected-history-retained	official-or-wiki	其姿态为狱卒	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102100/title	no-product-write-protected
HISTORY-LLM-005	protected-history-retained	official-or-wiki	这份感情的主人未能主导内心不断累积的感情，反倒受日渐膨胀的感情代为支配。受其影响，本应长成的Doppel被象征着感情的婴芽寄生，被夺走成长的能量。那些肉芽不过是无理性可言的小兽，不合心意的东西都由性子毁坏，只会不断吸食能量。时而它们也会想要用语言说明些什么，却只能够发出宛如空穴来风的声音，无法传达任何事物。＠饱足时显得乖巧温顺，不过一旦过饱就会从口中呕出能量。	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102100/description	no-product-write-protected
HISTORY-LLM-006	protected-history-retained	official-or-wiki	其姿态为战车	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102200/title	no-product-write-protected
HISTORY-LLM-007	protected-history-retained	official-or-wiki	这份感情的主人将为他人着想一事作为极大的喜悦，但转到自己身上时便会无限地怠惰下去，因而对于牵引着作为自己分身的存在一事抱有复杂的情感。＠这个Doppel以主人的力量作为原动力，无法自主行动。但只要被主人抛出，Doppel将以其庞大而结实的身体冲击敌人，轻易地粉碎对方。＠Doppel自身因能够为他人派上用场而感到喜悦，本是想要拥抱对方才向其飞去的，但由于被抛出时会从体内伸出巨大的刀刃，总是因此感到失败。	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102200/description	no-product-write-protected
HISTORY-LLM-008	protected-history-retained	official-or-wiki	恶果的魔女化身	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102300/name	no-product-write-protected
HISTORY-LLM-009	protected-history-retained	official-or-wiki	其姿态为丛云	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102300/title	no-product-write-protected
HISTORY-LLM-010	protected-history-retained	official-or-wiki	这种感情的主人是披着无情之皮的有情之人。对于不得已伤害他人的自责无法抹去，为了从困境中逃脱而再次伤害对方，反复进行负面的连锁。＠这只Doppel捕获了这样的主人后，为了从痛苦中解放出来而砍头，只在那一瞬间承担责任，给人一种解放感。但是头脑聪明的主人，发现一切都是自我满足的欺骗而烦恼的话，就会坚定无法解放的自责成为一个巨人，以发泄无处发泄的感情的形式解放出来。＠这样罪就不会被断也不会散落，会一直聚集在一起吧。	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102300/description	no-product-write-protected
HISTORY-LLM-011	protected-history-retained	official-or-wiki	奖励的魔女化身	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102400/name	no-product-write-protected
HISTORY-LLM-012	protected-history-retained	official-or-wiki	其姿态为飞行船	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102400/title	no-product-write-protected
HISTORY-LLM-013	protected-history-retained	official-or-wiki	这个感情的主人，是能够释放在身体和心里积蓄的庞大的能源的Doppel，自己也一边发送巨大的声波一边与Doppel一起打算消除忧愤。＠这只Doppel推荐把自己的想法全部做出来，甚至把自己的克制当作坏事，自己也不忍耐。那不仅是饮食和睡眠，甚至是突发的冲动，带着主人到处破坏。如果想要阻止她而从外面施加压力的话，不满就会超越界限爆发，把周围的一切都消灭掉。	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102400/description	no-product-write-protected
HISTORY-LLM-014	protected-history-retained	official-or-wiki	安宁的魔女化身	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102500/name	no-product-write-protected
HISTORY-LLM-015	protected-history-retained	official-or-wiki	其姿态为千手	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102500/title	no-product-write-protected
HISTORY-LLM-016	protected-history-retained	official-or-wiki	这份感情的主人，过着典身卖命般奉献的人生，由于Doppel也有着同样的精神，二者的联系非常深厚。＠这个Doppel对主人敌视的事物非常敏感，会用暴力来教导无用的对手，使其理解利他的优点。＠尽管受教者会受到重伤，但由于Doppel那黄金般美丽灿烂的身姿，以及艺术性循环往复的暴力教导，所以会忘记疼痛、神魂颠倒，在不知不觉间变成它的俘虏。	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102500/description	no-product-write-protected
HISTORY-LLM-017	protected-history-retained	official-or-wiki	谛念的魔女化身	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102700/name	no-product-write-protected
HISTORY-LLM-018	protected-history-retained	official-or-wiki	其姿态为猎蝽	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102700/title	no-product-write-protected
HISTORY-LLM-019	protected-history-retained	official-or-wiki	这份感情的主人目睹从自己身上显现出来的锐利而又凶猛的存在，在那之中投影着自己的过去，而让她只能懊悔地注视着它。＠这个Doppel悄无声息地敏捷移动着，趁目标不意间接近，再以针状的口器如鞭般进行穿刺，吸收对方的生命力。就算是看似棘手的敌人，Doppel也将隐蔽地接近，以四足使其弱化后再进行汲取。Doppel的主人除了注视着逐渐染上赤红的水晶，便无法阻止Doppel的暴动。	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102700/description	no-product-write-protected
HISTORY-LLM-020	protected-history-retained	official-or-wiki	其姿态为肖像	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102800/title	no-product-write-protected
HISTORY-LLM-021	protected-history-retained	official-or-wiki	这份感情的主人，虽然对Doppel感受到了不可思议的亲近感，但直面它时却带着一种内心被其看穿的恐惧的复杂情绪。对此，Doppel为了让主人从烦恼的感情中解放出来，在与其身体相连的球体中入睡；为了满足主人的欲望，将无法理解自己的对手全部粉碎。顺带一提，Doppel的身体是映照主心的临时模样，会根据本人的思念而变化，现在呈现出的是追求恋人形态的双人狼模样。保持临时开始的样子时，只要球体和环不被破坏，就会反复循环，因此需要注意。	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102800/description	no-product-write-protected
HISTORY-LLM-022	protected-history-retained	official-or-wiki	隔阂的魔女化身	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102900/name	no-product-write-protected
HISTORY-LLM-023	protected-history-retained	official-or-wiki	其姿态为刺座	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102900/title	no-product-write-protected
HISTORY-LLM-024	protected-history-retained	official-or-wiki	这份感情的主人对周围抱着过剩的警戒心却难以独自处理，从而对被自身所生出的存在保护一事毫无抵抗力。＠这个Doppel生长着锐利的刺与坚固的表皮，和主人一样只专注于保护自己。＠虽然并非主动性的攻击，Doppel每当承受压力时就将打开某一个开关，当全部开关都达到ON时，便会不由分说地启动电磁炮轰破障碍。＠当主人想要回避对手的感情，与这个Doppel的压力来源达到一致时，命中率就会获得飞跃性的提升。	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/102900/description	no-product-write-protected
HISTORY-LLM-025	protected-history-retained	official-or-wiki	其姿态为双面衣	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/103000/title	no-product-write-protected
HISTORY-LLM-026	protected-history-retained	official-or-wiki	这份感情的主人，虽然知道Doppel的存在，但却对心中出现的自身的摹写感到震惊，吓得直不起腰来。＠主人的Doppel与对魔女发挥力量的主人本身相反，拥有对魔法少女有着强杀伤力的能力，但是性格却与主人相似，一旦出现在战场上，马上就会陷入恐慌变成防御姿态。＠顺带一提，在Doppel出场的时候，主人因为害怕闭着眼睛，所以没有好好看过自身的摹写。等主人回过神来，敌人已经消失了，很佩服这个Doppel。	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/103000/description	no-product-write-protected
HISTORY-LLM-027	protected-history-retained	official-or-wiki	停滞的魔女化身	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/103100/name	no-product-write-protected
HISTORY-LLM-028	protected-history-retained	official-or-wiki	其姿态为保安系统	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/103100/title	no-product-write-protected
HISTORY-LLM-029	protected-history-retained	official-or-wiki	这份感情的主人决不承认养育自己的事物的变化。＠为了迎合主人的心情，这只Doppel发挥了能注意到路旁石块的动作和针掉落般的细小声音的能力。如果是自然现象引起的变化的话，可以安静地保养恢复原状，但如果是有人故意为之，它绝不会允许。放任附带的面具追踪，一定会抓住对方并给予惩罚。它不擅长被弓箭等攻击，但主人自己也使用飞行道具，心情很复杂。	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/103100/description	no-product-write-protected
HISTORY-LLM-030	protected-history-retained	official-or-wiki	其姿态为鞋	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/103200/title	no-product-write-protected
HISTORY-LLM-031	protected-history-retained	official-or-wiki	这份感情的主人，被自己周围生长出来的无数只脚压迫得目瞪口呆。但是，她本人似乎并不满意，似乎正因为太幸福而放纵自己。另外，Doppel虽然在寻找适合自己的脚，但却始终找不到，因而在自己体内堆积着废弃的脚。尽管如此，由于没有放弃追求与命运之足的相遇，所以常常因为不甘心而大发脾气，跳向高空、踩在地上，以消除压力。似乎跳得越高，压力就越能消除。	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/103200/description	no-product-write-protected
HISTORY-LLM-032	protected-history-retained	official-or-wiki	仁恕的魔女化身	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/103300/name	no-product-write-protected
HISTORY-LLM-033	protected-history-retained	official-or-wiki	其姿态为祭坛	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/103300/title	no-product-write-protected
HISTORY-LLM-034	protected-history-retained	official-or-wiki	这份感情的主人，与想把同族送到没有悲伤和痛苦的“无”的世界的魔女化身一起怜悯地祈祷着。感性强的魔女化身在感受到悲伤和痛苦时，会条件反射地采取拯救对象的行动。讨厌，那是魔女化身的的血腥的喜好，自然的感情不需要世界的慈爱喜忧参半，口中放生的丰登的光的照射者，立刻成为灰烬大地的养料。顺便一提，无论从哪个角度看，都只能看到相同的姿态，主人也没有见过背后的样子。	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/103300/description	no-product-write-protected
HISTORY-LLM-035	protected-history-retained	official-or-wiki	其姿态为堡垒	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/103400/title	no-product-write-protected
HISTORY-LLM-036	protected-history-retained	official-or-wiki	这份感情的主人拒绝自己的兴趣爱好等个人事情。被坚硬的外壳覆盖的Doppel成为了隔着周围的信息强制制造距离的主的私人空间，上部有如果有干扰的人，可以狙击并排除在外面的人的机构。但是，因为Doppel本身也有拒绝被干涉的性质，所以如果有人来搭话或接触，他就会慌张地闹着对方消失不见为止，让心情平静下来。那个时候在里面的主人，身体好像被摇晃得破烂不堪。	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/103400/description	no-product-write-protected
HISTORY-LLM-037	protected-history-retained	official-or-wiki	慕情的魔女化身	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/103500/name	no-product-write-protected
HISTORY-LLM-038	protected-history-retained	official-or-wiki	其姿态为船首像	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/103500/title	no-product-write-protected
HISTORY-LLM-039	protected-history-retained	official-or-wiki	这份感情的主人将自己的恋慕之情封存起来，无言地持续着沉眠。＠从水底出现的Doppel是绝不允许放弃任何恋情的，不沉的化身。主人和自己有了爱慕的对象后，就会将那份思念编入歌曲中，同时振动翅膀和桅杆，成就至高无上的演奏会。＠如果在观赏后没有给出反应的话，就会被格子状的桅杆剁碎，因此还是送上掌声为妙。但只要听了歌，体内的铁分就会被分解，从而让身体崩溃，所以最好还是从一开始就不要去听。	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/103500/description	no-product-write-protected
HISTORY-LLM-040	protected-history-retained	official-or-wiki	其姿态为木偶	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/103600/title	no-product-write-protected
HISTORY-LLM-041	protected-history-retained	official-or-wiki	这份感情的主人，虽然对能和自己一起表演的Doppel感到高兴，但惊讶的同时又怀疑自己是不是被操纵了。交际能力强的Doppel不仅能和主人，还能和各种各样的人交往，而且还能以滑稻的动作俘获大家的心。谁都能和它成为朋友。但是，这也正是被 Doppel迷惑而被操纵的证明。实际上，和他成为朋友的人，在和Doppel玩杂耍的时候被砸碎受到了灾难。	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/103600/description	no-product-write-protected
HISTORY-LLM-042	protected-history-retained	official-or-wiki	滑稽的魔女化身	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/103700/name	no-product-write-protected
HISTORY-LLM-043	protected-history-retained	official-or-wiki	其姿态为架子花脸	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/103700/title	no-product-write-protected
HISTORY-LLM-044	protected-history-retained	official-or-wiki	这种感情的主人虽然对自己身上的凶暴性感到惊讶，但还是对浅薄的Doppel有点不可思议。＠这只没有仔细观察周围的Doppel，有一种看到自己看到的东西就贸然断定的癖好＠在该战斗的时候会手舞足蹈，在该享受的时候会愤慨。＠虽然顽固且难以改变想法，但状况和行动一致时的实力惊人，变幻自如的刀刃是不可避免的，任何攻击都会因为莲花的旋转效果而被弹起。那个战斗的样子被称赞像跳跃一样美丽。＠顺便说一下，似乎认为主人是和滑稽的自己相似的伙伴。	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/103700/description	no-product-write-protected
HISTORY-LLM-045	protected-history-retained	official-or-wiki	其姿态为雏鸟	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/103800/title	no-product-write-protected
HISTORY-LLM-046	protected-history-retained	official-or-wiki	这份感情的主人拥有不会轻易动摇的坚强的心，但由于对自己的幼稚感到焦虑，所以无法喜爱与自己相似的Doppel。＠这个幼小的Doppel还未成长到能够自由操控四肢，最讨厌只能索要食物的自己，主人自己也不喜欢这份幼稚。这个Doppel自出生之时就开始积攒压力，经常要通过呐喊来发泄。然而，当压力超过顶峰爆发时，就会打破外壳来回跳跃，所到之处都会留下凄惨的爪痕。再加上主人的压力的话，就会变得更严重吧。	magica/i18n_audit/wiki_authority_pass9/doppel_equivalence_report.tsv#/103800/description	no-product-write-protected
