row_id	physical_line	rule_type	source_key	current_cn	verdict	severity	proposed_cn	proposed_source_tier	reason	evidence	placeholder_check	newline_check	japanese_target_check	formal_term_note	product_write_allowed
ENG-083	83	exact	ブラストディスクのダメージが上昇	Blast圆盘伤害提升	correction-required	medium	Blast行动盘的伤害提升	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确使用“Blast行动盘的伤害提升”。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14cffc8']; armv7 offsets=['0x117f074']	pass	pass	pass	保留正式机制词：Blast	false
ENG-097	97	exact	スタン	眩晕	correction-required	high	麻痹	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 及国服帮助均将スタン译为“麻痹”；当前“眩晕”与官中冲突。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14d01e0']; armv7 offsets=['0x117f274']	pass	pass	pass		false
ENG-100	100	exact	毎ターンダメージ	每回合伤害	correction-required	medium	每回合受到伤害	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确使用“每回合受到伤害”。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14d0278', '0x14d0298', '0x14d02e0']; armv7 offsets=['0x117f304', '0x117f324', '0x117f368']	pass	pass	pass		false
ENG-108	108	exact	スキル不可	技能封印	correction-required	high	禁止技能	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确使用“禁止技能”；当前“技能封印”不是官中状态名。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14d0400']; armv7 offsets=['0x117f478']	pass	pass	pass		false
ENG-113	113	exact	確率で与えるダメージが大きく上昇	概率使造成伤害大幅提升	correction-required	medium	一定概率使给予伤害大幅度提升	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确使用该完整描述。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14d0498']; armv7 offsets=['0x117f504']	pass	pass	pass		false
ENG-116	116	exact	攻撃対象の回避を無効化	使攻击目标的回避无效化	correction-required	medium	使攻击对象的回避无效	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确使用该完整描述。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14d0538']; armv7 offsets=['0x117f598']	pass	pass	pass		false
ENG-118	118	exact	スキルクイック	技能冷却加速	correction-required	medium	技能加速	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确使用“技能加速”；当前词不见于国服语料。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14d0580']; armv7 offsets=['0x117f5dc']	pass	pass	pass		false
ENG-125	125	exact	攻撃対象のカウンターを無効化	使攻击目标的反击无效化	correction-required	medium	使攻击对象的反击技能无效	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确使用该完整描述。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14d0690']; armv7 offsets=['0x117f6e0']	pass	pass	pass		false
ENG-129	129	exact	致死ダメージを受けてもHP1で生存	受到致命伤害也以HP1存活	correction-required	medium	受到致死量伤害时，能够以HP1的状态存活	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确使用该完整描述；当前译文过度压缩。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14d0708']; armv7 offsets=['0x117f754']	pass	pass	pass		false
ENG-131	131	exact	かばう	掩护	correction-required	medium	庇护	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确将かばう译为“庇护”。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14d0780']; armv7 offsets=['0x117f7c8']	pass	pass	pass		false
ENG-139	139	exact	攻撃対象のダメージカットを無効化	使攻击目标的伤害削减无效化	correction-required	medium	使攻击对象的伤害削减效果无效化	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确使用该完整描述。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14d0888']; armv7 offsets=['0x117f8c0']	pass	pass	pass		false
ENG-166	166	exact	チャージディスクのダメージが上昇	Charge圆盘伤害提升	correction-required	medium	Charge行动盘造成的伤害上升	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确使用该完整描述。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14d0ba0']; armv7 offsets=['0x117fbb4']	pass	pass	pass	保留正式机制词：Charge	false
ENG-169	169	exact	MP100以上の際にMPゲージアップ	MP100以上时MP槽提升	correction-required	medium	MP在100以上时MP充能条增加	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确使用该完整描述。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14d0c08']; armv7 offsets=['0x117fc1c']	pass	pass	pass		false
ENG-170	170	exact	チャージコンボプラス	Charge连击数提升	correction-required	medium	Charge连击数附加	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确使用“Charge连击数附加”。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14d0c30']; armv7 offsets=['0x117fc40']	pass	pass	pass	保留正式机制词：Charge	false
ENG-178	178	exact	アクセルディスクによる被ダメージが上昇	受到Accele圆盘伤害提升	correction-required	medium	受到来自Accele行动盘的伤害上升	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确使用该完整描述。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14d0d10']; armv7 offsets=['0x117fd10']	pass	pass	pass	保留正式机制词：Accele	false
ENG-180	180	exact	ブラストディスクによる被ダメージが上昇	受到Blast圆盘伤害提升	correction-required	medium	受到来自Blast行动盘的伤害上升	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确使用该完整描述。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14d0d50']; armv7 offsets=['0x117fd4c']	pass	pass	pass	保留正式机制词：Blast	false
ENG-184	184	exact	チャージディスクによる被ダメージが上昇	受到Charge圆盘伤害提升	correction-required	medium	受到来自Charge行动盘的伤害上升	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确使用该完整描述。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14d0de0']; armv7 offsets=['0x117fdd4']	pass	pass	pass	保留正式机制词：Charge	false
ENG-220	220	exact	ディスク・スキル	圆盘·技能	correction-required	medium	行动盘·技能	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确使用“行动盘·技能”。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14eeb30']; armv7 offsets=['0x118816c']	pass	pass	pass		false
ENG-232	232	exact	獲得したEXP・カースチップ(CC)・宝箱は\n入手できなくなります	已获得的EXP·诅咒晶片(CC)·宝箱\n将无法获得	correction-required	medium	得到的EXP·诅咒晶片（CC）·宝箱将\n无法获取。	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确存在完整退出警告；保留转义换行结构。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14f0e60']; armv7 offsets=['0x1188818']	pass	pass	pass		false
ENG-240	240	exact	ストーリーの鑑賞を中断しますか？\n次回、中断したシーンから再開できます。\n※既に中断データがある場合、上書きされます。	要中断剧情观赏吗？\n下次可从中断的场景继续。\n※如已有中断数据，将被覆盖。	correction-required	low	要停止观看剧情吗？\n下次可从中断的场景继续观看。\n※若已有中断数据，该数据将被覆盖。	manual-semantic-reviewed	当前“剧情观赏”生硬；建议保持三行结构并改为自然中文。	root semantic review against Japanese source and adjacent official terminology; not an exact official whole-string	pass	pass	pass		false
ENG-264	264	exact	再開確認	继续确认	correction-required	high	回到战斗确认	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确标题为“回到战斗确认”；当前词序和语义不清。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14d11f8']; armv7 offsets=['0x118016c']	pass	pass	pass		false
ENG-272	272	exact	HP回復禁止	HP回复禁止	correction-required	medium	禁止回复HP	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 与国服帮助均精确使用“禁止回复HP”。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14d0450']; armv7 offsets=['0x117f4bc']	pass	pass	pass		false
ENG-273	273	exact	MP回復禁止	MP回复禁止	correction-required	medium	禁止回复MP	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 与国服帮助均精确使用“禁止回复MP”。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14d0470']; armv7 offsets=['0x117f4dc']	pass	pass	pass		false
