key	scope	path_prefix	source_text	resolution	fatal	winner_cn	winner_authority	competing_candidates	evidence
global:2220603d8bb7bd9c9cf0	global		装備したいセットを選んでください	resolved-by-higher-authority	false	请选择想要装备的组合	official_cn_dump	"[{""candidate_cn"":""请选择想要装备的组合"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:27""},{""candidate_cn"":""请选择要装备的套装"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:1097""}]"	lower-weight candidate retained only in provenance
global:297b238b357a5766c3ce	global		サポート	resolved-by-higher-authority	false	辅助	wiki	"[{""candidate_cn"":""辅助"",""authority"":""wiki"",""weight"":400,""source"":""i18n/glossary.tsv:274""},{""candidate_cn"":""支援"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:82""}]"	lower-weight candidate retained only in provenance
global:399ee79c5591ee521ff7	global		\\x3cp\\x3eクエスト用のチームを編成しましょう\\x3c/p\\x3e	resolved-by-higher-authority	false	\\x3cp\\x3e对副本用的队伍进行编成吧\\x3c/p\\x3e	official_cn_dump	"[{""candidate_cn"":""\\\\x3cp\\\\x3e对副本用的队伍进行编成吧\\\\x3c/p\\\\x3e"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:30""},{""candidate_cn"":""\\\\x3cp\\\\x3e来编成关卡用的队伍吧\\\\x3c/p\\\\x3e"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:630""}]"	lower-weight candidate retained only in provenance
global:39e13406ca53fd9092f8	global		★5かつマギアLv5の魔法少女の@ドッペルクエストをクリアすることで解放されます	resolved-by-higher-authority	false	★5且Magia为5级的魔法少女@其魔女化身将在副本通关后解放	official_cn_dump	"[{""candidate_cn"":""★5且Magia为5级的魔法少女@其魔女化身将在副本通关后解放"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:32""},{""candidate_cn"":""通关★5 且 Magia Lv5 的魔法少女的@魔女化身关卡后解放"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:428""}]"	lower-weight candidate retained only in provenance
global:4cbd8aa150a7cb6987ab	global		Blastディスクは2枚め、3枚めで@攻撃するほどダメージが上昇します	resolved-by-higher-authority	false	使用第2、第3枚Blast行动盘@攻击时的伤害增大	official_cn_dump	"[{""candidate_cn"":""使用第2、第3枚Blast行动盘@攻击时的伤害增大"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:62""},{""candidate_cn"":""Blast 圆盘越是在第 2 张、第 3 张@攻击时伤害越高"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:419""}]"	lower-weight candidate retained only in provenance
global:539d5b5bf398fb93bd34	global		オートを解除した場合、次のターンから@手動操作することができます	resolved-by-higher-authority	false	取消自动战斗时，从下一回合起@即可手动操作	official_cn_dump	"[{""candidate_cn"":""取消自动战斗时，从下一回合起@即可手动操作"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:28""},{""candidate_cn"":""解除自动后@从下一回合起可以手动操作"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:408""}]"	lower-weight candidate retained only in provenance
global:5d29e1c106f8d01b7729	global		魔法陣形	resolved-by-higher-authority	false	魔法阵型	official_cn_dump	"[{""candidate_cn"":""魔法阵型"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:33""},{""candidate_cn"":""魔法阵形"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:100""}]"	lower-weight candidate retained only in provenance
global:6d7a576ef9924980a08e	global		【対象となる行為】	resolved-by-higher-authority	false	【视为处理对象的行为】	official_cn_dump	"[{""candidate_cn"":""【视为处理对象的行为】"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:20""},{""candidate_cn"":""【违规行为】"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:1232""}]"	lower-weight candidate retained only in provenance
global:719e7ba4df2943575bc1	global		サポートボーナス	resolved-by-higher-authority	false	协助奖励	official_cn_dump	"[{""candidate_cn"":""协助奖励"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:37""},{""candidate_cn"":""支援加成"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:1551""}]"	lower-weight candidate retained only in provenance
global:719f449647c491ede54b	global		クリア(獲得済・未コンプ)	resolved-by-higher-authority	false	通关（已通、未满星）	official_cn_dump	"[{""candidate_cn"":""通关（已通、未满星）"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:47""},{""candidate_cn"":""通关(已获得·未集齐)"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:1352""}]"	lower-weight candidate retained only in provenance
global:792af6f70f7d3f182ee7	global		キモチ戦は	resolved-by-higher-authority	false	心魔战	official_cn_dump	"[{""candidate_cn"":""心魔战"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:6""},{""candidate_cn"":""心情战"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:255""}]"	lower-weight candidate retained only in provenance
global:810a09dd0516f7bb3129	global		Blastディスクには縦攻撃、横攻撃の@2種類が存在します	resolved-by-higher-authority	false	Blast行动盘拥有2种攻击类型@即横向攻击和纵向攻击	official_cn_dump	"[{""candidate_cn"":""Blast行动盘拥有2种攻击类型@即横向攻击和纵向攻击"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:31""},{""candidate_cn"":""Blast 圆盘分为纵向攻击与横向攻击@两种"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:420""}]"	lower-weight candidate retained only in provenance
global:812dcf179b566cfb304b	global		\\x3cp\\x3e魔法少女を選んだらガチャを引いて仲間にしてみましょう\\x3cbr\\x3e★4魔法少女は選んだ1体のみ出現します\\x3cbr\\x3eガチャを引くまでは魔法少女を選びなおすことが可能です\\x3c/p\\x3e	resolved-by-higher-authority	false	\\x3cp\\x3e选定魔法少女后抽取扭蛋，将她变成伙伴吧\\x3cbr\\x3e只会出现1名选定的★4魔法少女\\x3cbr\\x3e在抽取扭蛋之前，可以重新选择魔法少女\\x3c/p\\x3e	official_cn_dump	"[{""candidate_cn"":""\\\\x3cp\\\\x3e选定魔法少女后抽取扭蛋，将她变成伙伴吧\\\\x3cbr\\\\x3e只会出现1名选定的★4魔法少女\\\\x3cbr\\\\x3e在抽取扭蛋之前，可以重新选择魔法少女\\\\x3c/p\\\\x3e"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:14""},{""candidate_cn"":""\\\\x3cp\\\\x3e选好魔法少女后,抽扭蛋让她成为伙伴吧\\\\x3cbr\\\\x3e★4魔法少女只会出现你选的那1个\\\\x3cbr\\\\x3e抽扭蛋之前可以重新选择魔法少女\\\\x3c/p\\\\x3e"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:628""}]"	lower-weight candidate retained only in provenance
global:81d02dcdeba299f63783	global		」を上書きします。\\x3c/br\\x3e	resolved-by-higher-authority	false	」将覆盖\\x3c/br\\x3e	official_cn_dump	"[{""candidate_cn"":""」将覆盖\\\\x3c/br\\\\x3e"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:24""},{""candidate_cn"":""」。\\\\x3c/br\\\\x3e"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:1091""}]"	lower-weight candidate retained only in provenance
global:8346f3e31099c9754878	global		\\x3cbr\\x3eを含むチームでクエストを開始	resolved-by-higher-authority	false	\\x3cbr\\x3e所在的队伍才能开始副本	official_cn_dump	"[{""candidate_cn"":""\\\\x3cbr\\\\x3e所在的队伍才能开始副本"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:22""},{""candidate_cn"":""\\\\x3cbr\\\\x3e的队伍开始关卡"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:679""}]"	lower-weight candidate retained only in provenance
global:92027d89b8a3d293cef7	global		マギアLv	resolved-by-higher-authority	false	Magia等级	official_cn_dump	"[{""candidate_cn"":""Magia等级"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:23""},{""candidate_cn"":""魔法等级"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:56""}]"	lower-weight candidate retained only in provenance
global:93418172110491d4ef59	global		キャッシュクリアしました。	resolved-by-higher-authority	false	已清空缓存。	official_cn_dump	"[{""candidate_cn"":""已清空缓存。"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:35""},{""candidate_cn"":""已清除缓存。"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:601""}]"	lower-weight candidate retained only in provenance
global:9e2f4b3aa4887a9fd12e	global		※ムービーデータは、後からダウンロードすることも可能です。\\n※Wi-Fi環境でのダウンロードをお勧めします。	resolved-by-higher-authority	false	※影片资料也可以之后再下载。\\n※建议在Wi-Fi模式下进行下载。	official_cn_dump	"[{""candidate_cn"":""※影片资料也可以之后再下载。\\\\n※建议在Wi-Fi模式下进行下载。"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:51""},{""candidate_cn"":""※影片数据也可以稍后下载。\\\\\\n※建议在Wi-Fi环境下下载。"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:896""}]"	lower-weight candidate retained only in provenance
global:9f6ac3db9d5d4fb9425c	global		<span>または</span>	resolved-by-higher-authority	false	<span>或者</span>	official_cn_dump	"[{""candidate_cn"":""<span>或者</span>"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:61""},{""candidate_cn"":""<span>或</span>"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:794""}]"	lower-weight candidate retained only in provenance
global:a124b1e8630bd5e688a1	global		\\x3cp\\x3eガチャでは魔法少女やメモリアを手に入れることができます\\x3cbr\\x3e特別に選んだ魔法少女1体を必ずもらえるガチャを用意しました\\x3cbr\\x3e好きな魔法少女を選んでみましょう\\x3c/p\\x3e	resolved-by-higher-authority	false	\\x3cp\\x3e在扭蛋中可以获得魔法少女或记忆结晶\\x3cbr\\x3e另外还特意准备了必出1名可选魔法少女的扭蛋\\x3cbr\\x3e从中选择您喜欢的魔法少女吧\\x3c/p\\x3e	official_cn_dump	"[{""candidate_cn"":""\\\\x3cp\\\\x3e在扭蛋中可以获得魔法少女或记忆结晶\\\\x3cbr\\\\x3e另外还特意准备了必出1名可选魔法少女的扭蛋\\\\x3cbr\\\\x3e从中选择您喜欢的魔法少女吧\\\\x3c/p\\\\x3e"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:64""},{""candidate_cn"":""\\\\x3cp\\\\x3e扭蛋可以获得魔法少女和记忆结晶\\\\x3cbr\\\\x3e我们准备了必得1个自选魔法少女的扭蛋\\\\x3cbr\\\\x3e来选一个喜欢的魔法少女吧\\\\x3c/p\\\\x3e"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:627""}]"	lower-weight candidate retained only in provenance
global:a8779985297796f02bbb	global		サンプルまま	resolved-by-higher-authority	false	按示例内容发送	official_cn_dump	"[{""candidate_cn"":""按示例内容发送"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:48""},{""candidate_cn"":""保持示例"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:1371""}]"	lower-weight candidate retained only in provenance
global:ab831a9a19ba3b1b9277	global		マギア強化	resolved-by-higher-authority	false	魔法强化	official_cn_dump	"[{""candidate_cn"":""魔法强化"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:52""},{""candidate_cn"":""Magia强化"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:1531""}]"	lower-weight candidate retained only in provenance
global:abaa312562eca73a2e86	global		デスティニージェムをマギアチップに変換	resolved-by-higher-authority	false	将命运宝石转换为魔法晶片	official_cn_dump	"[{""candidate_cn"":""将命运宝石转换为魔法晶片"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:45""},{""candidate_cn"":""将命运宝石转换为魔法碎片"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:888""}]"	lower-weight candidate retained only in provenance
global:b0b0c594844521aea0ad	global		※本件に関するお問い合わせにつきましては、上記の報告をもって回答と代えさせていただきます。	resolved-by-higher-authority	false	※对于与本事项相关的意见反馈，将以上诉通告作为回复。	official_cn_dump	"[{""candidate_cn"":""※对于与本事项相关的意见反馈，将以上诉通告作为回复。"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:10""},{""candidate_cn"":""※关于本事件的咨询,将以以上报告作为答复。"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:1239""}]"	lower-weight candidate retained only in provenance
global:b1dac5d4391fd3110479	global		特訓したい魔法少女を選んでください	resolved-by-higher-authority	false	请选择想特训的魔法少女	official_cn_dump	"[{""candidate_cn"":""请选择想特训的魔法少女"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:29""},{""candidate_cn"":""请选择要特训的魔法少女"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:1295""}]"	lower-weight candidate retained only in provenance
global:c6675bd93c0abf7230a8	global		ストアに最新版が公開されていない場合は暫くお待ちください。	resolved-by-higher-authority	false	如果应用商店尚未公开最新版本，请暂作等候。	official_cn_dump	"[{""candidate_cn"":""如果应用商店尚未公开最新版本，请暂作等候。"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:16""},{""candidate_cn"":""若应用商店尚未发布最新版,请稍等。"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:1180""}]"	lower-weight candidate retained only in provenance
global:c8cb23d92e693581117b	global		編成コピー確認	resolved-by-higher-authority	false	复制编队确认	official_cn_dump	"[{""candidate_cn"":""复制编队确认"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:53""},{""candidate_cn"":""编成复制确认"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:492""}]"	lower-weight candidate retained only in provenance
global:ced83e558ec7939d4c65	global		全ての素材をまとめてセットします。	resolved-by-higher-authority	false	一并设置所有素材。	official_cn_dump	"[{""candidate_cn"":""一并设置所有素材。"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:38""},{""candidate_cn"":""将全部素材批量放入。"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:1530""}]"	lower-weight candidate retained only in provenance
global:d74aeff6daae74768302	global		このメモリアは既に他のセットへ登録中です。\\x3cbr\\x3eセット登録しますか？	resolved-by-higher-authority	false	该记忆结晶已经保存在其他组合中。\\x3cbr\\x3e是否保存在此组合中？	official_cn_dump	"[{""candidate_cn"":""该记忆结晶已经保存在其他组合中。\\\\x3cbr\\\\x3e是否保存在此组合中？"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:11""},{""candidate_cn"":""该记忆结晶已登记在其他套装中。\\\\x3cbr\\\\x3e要登记到套装吗?"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:1087""}]"	lower-weight candidate retained only in provenance
global:d86e18cf26001ad9281c	global		選択された魔法少女は回復が完了しています	resolved-by-higher-authority	false	所选中的魔法少女已经回复完毕	official_cn_dump	"[{""candidate_cn"":""所选中的魔法少女已经回复完毕"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:39""},{""candidate_cn"":""所选的魔法少女已回复完成"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:840""}]"	lower-weight candidate retained only in provenance
global:e7ecbda99decff6ab210	global		このクエストには以下の開始条件があります\\x3cbr\\x3e	resolved-by-higher-authority	false	此副本必须满足以下条件才能开始\\x3cbr\\x3e	official_cn_dump	"[{""candidate_cn"":""此副本必须满足以下条件才能开始\\\\x3cbr\\\\x3e"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:42""},{""candidate_cn"":""该关卡有以下开始条件\\\\x3cbr\\\\x3e"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:677""}]"	lower-weight candidate retained only in provenance
global:e9625d08601a44921f29	global		\\x3cbr\\x3eのみのチームでクエストを開始	resolved-by-higher-authority	false	\\x3cbr\\x3e单人的队伍才能开始副本	official_cn_dump	"[{""candidate_cn"":""\\\\x3cbr\\\\x3e单人的队伍才能开始副本"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:17""},{""candidate_cn"":""\\\\x3cbr\\\\x3e的队伍开始关卡"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:678""}]"	lower-weight candidate retained only in provenance
global:ef8bd4da01fb2d72bbb1	global		・不正アクセスを行い本サービス、または他ユーザー様に不利益を与える行為。	resolved-by-higher-authority	false	·进行不正当使用，对本服务及其他用户造成不利影响的行为。	official_cn_dump	"[{""candidate_cn"":""·进行不正当使用，对本服务及其他用户造成不利影响的行为。"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:19""},{""candidate_cn"":""·进行不正当访问,给本服务或其他用户造成不利影响的行为。"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:1235""}]"	lower-weight candidate retained only in provenance
global:efd481f2fcd83329aa15	global		HP回復	resolved-by-higher-authority	false	回复HP	wiki	"[{""candidate_cn"":""回复HP"",""authority"":""wiki"",""weight"":400,""source"":""i18n/glossary.tsv:41""},{""candidate_cn"":""HP 回复"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:109""}]"	lower-weight candidate retained only in provenance
global:f3f99d3851debc5fc708	global		魔法少女の詳細情報です	resolved-by-higher-authority	false	魔法少女的详细资讯	official_cn_dump	"[{""candidate_cn"":""魔法少女的详细资讯"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:40""},{""candidate_cn"":""魔法少女的详细信息"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:588""}]"	lower-weight candidate retained only in provenance
global:f42b71ab0f8c73dfb356	global		キモチ戦	resolved-by-higher-authority	false	心魔战	official_cn_dump	"[{""candidate_cn"":""心魔战"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:5""},{""candidate_cn"":""心情战"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:52""}]"	lower-weight candidate retained only in provenance
global:fbed43f3a4e035ecbee4	global		・プログラムの不具合を利用した不正行為(アイテムを不正に取得する等の特に悪質な行為)、およびそれを助長する行為(故意に不具合を利用したと運営が判断した場合を含む)により本サービスの運営、提供を妨害し、それらに支障をきたす行為。	resolved-by-higher-authority	false	·利用程序漏洞的行为（不正当获取道具等特别恶劣的行为）、以及助长此做法（包括被运营方判定为故意利用漏洞的情况）导致对本服务的运营、提供造成妨害甚至导致故障发生的行为。	official_cn_dump	"[{""candidate_cn"":""·利用程序漏洞的行为（不正当获取道具等特别恶劣的行为）、以及助长此做法（包括被运营方判定为故意利用漏洞的情况）导致对本服务的运营、提供造成妨害甚至导致故障发生的行为。"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:8""},{""candidate_cn"":""·利用程序漏洞进行不正当行为(如不正当获取道具等特别恶劣的行为),以及助长该行为的情形(包括经运营判断为故意利用漏洞的情形),妨碍本服务的运营与提供并造成障碍的行为。"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:1237""}]"	lower-weight candidate retained only in provenance
global:fdb09822618d9cf134c5	global		原点の器を1個消費して、\\x3cspan class\\x3d'c_pink'\\x3e	resolved-by-higher-authority	false	消耗一个原点之器、\\x3cspan class\\x3d'c_pink'\\x3e	official_cn_dump	"[{""candidate_cn"":""消耗一个原点之器、\\\\x3cspan class\\\\x3d'c_pink'\\\\x3e"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:15""},{""candidate_cn"":""消耗1个原点之器,\\\\x3cspan class\\\\x3d'c_pink'\\\\x3e"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:924""}]"	lower-weight candidate retained only in provenance
