id	scope	path	kind	source_text	cn_text	source_occurrences	changed_occurrences	status	review_basis
NUI-058	production	template/campaign/newyear_login/NewYearLogin.html	html_text	吉	吉	1	0	already_cn_compatible	existing_magica_terms_and_context_review
NUI-059	production	template/campaign/newyear_login/NewYearLogin.html	html_text	開催期間	开放期间	1	1	translated	existing_magica_terms_and_context_review
NUI-060	production	template/event/EventArenaRankMatch/Result.html	html_text	イベントトップに戻る	返回活动首页	1	1	translated	existing_magica_terms_and_context_review
NUI-061	production	template/event/EventArenaRankMatch/Top.html	html_text	対戦回数	对战次数	1	1	translated	existing_magica_terms_and_context_review
NUI-062	production	template/event/EventArenaRankMatch/Top.html	html_text	クールタイム	冷却时间	1	1	translated	existing_magica_terms_and_context_review
NUI-063	production	template/event/EventArenaRankMatch/Top.html	html_text	位	名	2	2	translated	existing_magica_terms_and_context_review
NUI-064	production	template/event/EventArenaRankMatch/Top.html	html_text	遊び方	玩法	1	1	translated	existing_magica_terms_and_context_review
NUI-065	production	template/quest/puellaHistoria/lastBattle/GroupRaid.html	html_text	獲得DP	获得 DP	1	1	translated	existing_magica_terms_and_context_review
NUI-066	production	template/quest/puellaHistoria/lastBattle/GroupRaid.html	html_text	ミッション	任务	1	1	translated	existing_magica_terms_and_context_review
NUI-067	production	template/quest/puellaHistoria/lastBattle/GroupRaid.html	html_text	マップへ戻る	返回地图	1	1	translated	existing_magica_terms_and_context_review
NUI-068	production	template/quest/puellaHistoria/lastBattle/GroupRaid.html	html_text	遊び方	玩法	1	1	translated	existing_magica_terms_and_context_review
NUI-069	production	template/quest/puellaHistoria/lastBattle/QuestResultMainBoss.html	html_text	獲得DP	获得 DP	1	1	translated	existing_magica_terms_and_context_review
NUI-070	production	template/quest/puellaHistoria/lastBattle/QuestResultMainBoss.html	html_text	合計DP	合计DP	1	1	translated	existing_magica_terms_and_context_review
NUI-071	production	template/quest/puellaHistoria/lastBattle/QuestResultSubBoss.html	html_text	グループレイドに戻る	返回小组讨伐	1	1	translated	existing_magica_terms_and_context_review
NUI-072	production	template/quest/puellaHistoria/lastBattle/QuestResultSubBoss.html	html_text	獲得DP	获得 DP	1	1	translated	existing_magica_terms_and_context_review
NUI-073	production	template/quest/puellaHistoria/lastBattle/QuestResultSubBoss.html	html_text	合計DP	合计DP	1	1	translated	existing_magica_terms_and_context_review
NUI-074	test	template/test/MailSendTest.html	html_text	メール送信テスト	邮件发送测试	1	1	translated	existing_magica_terms_and_context_review
NUI-075	test	template/test/MailSendTest.html	html_text	メールアドレス入力	输入电子邮件地址	1	1	translated	existing_magica_terms_and_context_review
NUI-076	test	template/test/MailSendTest.html	html_text	送信	发送	2	2	translated	existing_magica_terms_and_context_review
NUI-077	test	template/test/MailSendTest.html	html_text	認証番号テスト	验证码测试	1	1	translated	existing_magica_terms_and_context_review
NUI-078	test	template/test/MailSendTest.html	html_text	認証番号入力（数字のみ）	输入验证码（仅限数字）	1	1	translated	existing_magica_terms_and_context_review
NUI-079	test	template/test/SdCharaTest.html	html_text	ミニキャラ表示	迷你角色显示	1	1	translated	existing_magica_terms_and_context_review
NUI-080	test	template/test/SdCharaTest.html	html_text	反転	翻转	1	1	translated	existing_magica_terms_and_context_review
NUI-081	test	template/test/SdCharaTest.html	html_text	chara表示	chara显示	1	1	translated	existing_magica_terms_and_context_review
NUI-082	test	template/test/SdCharaTest.html	html_text	chara非表示	chara隐藏	1	1	translated	existing_magica_terms_and_context_review
NUI-083	test	template/test/SdCharaTest.html	html_text	ストック	库存	1	1	translated	existing_magica_terms_and_context_review
NUI-084	test	template/test/SdCharaTest.html	html_text	一覧	列表	1	1	translated	existing_magica_terms_and_context_review
NUI-085	test	template/test/SdCharaTest.html	html_text	削除	删除	1	1	translated	existing_magica_terms_and_context_review
NUI-086	test	template/test/SdCharaTest.html	html_text	ストック表示	显示库存	1	1	translated	existing_magica_terms_and_context_review
NUI-087	test	template/test/SdCharaTest.html	html_text	ストック非表示	隐藏库存	1	1	translated	existing_magica_terms_and_context_review
NUI-088	test	template/test/SdCharaTest.html	html_text	キモチ戦UI	心魔战UI	1	1	translated	existing_magica_terms_and_context_review
NUI-089	test	template/test/SdCharaTest.html	html_text	indexを入力	输入index	1	1	translated	existing_magica_terms_and_context_review
NUI-090	test	template/test/SdCharaTest.html	html_text	charaIdを入力	输入charaId	1	1	translated	existing_magica_terms_and_context_review
NUI-091	test	template/test/SdCharaTest.html	html_text	X座標を入力	输入X坐标	1	1	translated	existing_magica_terms_and_context_review
NUI-092	test	template/test/SdCharaTest.html	html_text	Y座標を入力	输入Y坐标	1	1	translated	existing_magica_terms_and_context_review
NUI-093	test	template/test/SdCharaTest.html	html_text	Scaleを入力	输入Scale	1	1	translated	existing_magica_terms_and_context_review
NUI-094	test	template/test/SdCharaTest.html	html_text	Fadeを入力	输入Fade	1	1	translated	existing_magica_terms_and_context_review
NUI-095	test	template/test/ShopReworkTest.html	html_text	デザイントグル	设计切换	1	1	translated	existing_magica_terms_and_context_review
NUI-096	test	template/test/ShopReworkTest.html	html_text	ショップ	商店	1	1	translated	existing_magica_terms_and_context_review
NUI-097	test	template/test/ShopReworkTest.html	html_text	イベント名	活动名称	1	1	translated	existing_magica_terms_and_context_review
NUI-098	test	template/test/ShopReworkTest.html	html_text	交換期限	兑换期限	6	6	translated	existing_magica_terms_and_context_review
NUI-099	test	template/test/ShopReworkTest.html	html_text	まで	为止	6	6	translated	existing_magica_terms_and_context_review
NUI-100	test	template/test/ShopReworkTest.html	html_text	マギアストーン	魔法石	1	1	translated	existing_magica_terms_and_context_review
NUI-101	test	template/test/ShopReworkTest.html	html_text	サポートPt	支援Pt	1	1	translated	existing_magica_terms_and_context_review
NUI-102	test	template/test/ShopReworkTest.html	html_text	ミラーズコイン	镜界币	1	1	translated	existing_magica_terms_and_context_review
NUI-103	test	template/test/ShopReworkTest.html	html_text	デイリーコイン	每日币	1	1	translated	existing_magica_terms_and_context_review
NUI-104	test	template/test/ShopReworkTest.html	html_text	ガチャチケット	抽卡券	20	20	translated	existing_magica_terms_and_context_review
NUI-105	test	template/test/ShopReworkTest.html	html_text	所持数	持有数	10	10	translated	existing_magica_terms_and_context_review
NUI-106	test	template/test/ShopReworkTest.html	html_text	購入期限	购买期限	10	10	translated	existing_magica_terms_and_context_review
NUI-107	test	template/test/ShopReworkTest.html	html_text	残り回数	剩余次数	10	10	translated	existing_magica_terms_and_context_review
