text	authoritative_cn	tier	exact_source_path	source_pointer	confidence	notes
背景「时女拾遺物語」	背景「时女拾遗物语」	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json	/590/title	0.98	仅替换Wiki已确认的名称或用词组件
时女拾遺物語	时女拾遗物语	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json	/590/title	0.98	仅替换Wiki已确认的名称或用词组件
主页背景「七色夏模様」。	主页背景「七彩夏日绘」。	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz	jsonl:1888:/title;jsonl:1888:/wikitext/活动信息框/日文标题	0.99	Wiki活动页显式给出日文标题与中文页名；仅保留原字段包装
背景「七色夏模様」	背景「七彩夏日绘」	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz	jsonl:1888:/title;jsonl:1888:/wikitext/活动信息框/日文标题	0.99	Wiki活动页显式给出日文标题与中文页名；仅保留原字段包装
七色夏模様	七彩夏日绘	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz	jsonl:1888:/title;jsonl:1888:/wikitext/活动信息框/日文标题	0.99	Wiki活动页显式给出日文标题与中文页名；仅保留原字段包装
主页背景「神滨大運動会」。	主页背景「神滨大运动会」。	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json	/796/title;/6678/headings/27/text	0.99	仅替换Wiki已确认的名称或用词组件
背景「神滨大運動会」	背景「神滨大运动会」	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json	/796/title;/6678/headings/27/text	0.99	仅替换Wiki已确认的名称或用词组件
神滨大運動会	神滨大运动会	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json	/796/title;/6678/headings/27/text	0.99	仅替换Wiki已确认的名称或用词组件
謹賀新年★4魔法少女兑换券	谨贺新年★4魔法少女兑换券	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/兎にも角にも謹賀新年/name_ja;/兎にも角にも謹賀新年/name_zh	0.98	仅替换Wiki已确认的名称或用词组件
可使用1次周年纪念★4魔法少女1体必得10連扭蛋的券	可使用1次周年纪念★4魔法少女1体必得10连扭蛋的券	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/itemList.json/GACHA10_TICKET/name;/itemList.json/GACHA10_TICKET/shortDescription	0.99	官方国服同类票券明确采用“10连扭蛋券”；目标仅替换日文旧字“連”
第2部登場★4魔法少女必得扭蛋券	第2部登场★4保底魔法少女扭蛋券	1_official_cn_dump_same_record	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/itemList.json/SPECIAL_GACHA_494_TICKET/description	0.99	取自同一票券记录的官方国服说明
宝崎市立光塚中等教育学校校服	宝崎市立光冢中等教育学校校服	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\characters.json	/神乐灿/infobox/出身地;/游狩美由利/infobox/出身地	0.97	仅替换Wiki已确认的名称或用词组件
魔法少女(日本語)	魔法少女(翻译装置)	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz	jsonl:1247:/wikitext/角色语音/tabber/魔法少女/私服(翻译装置);jsonl:1247:/wikitext/服装编号02	0.98	Wiki在佐和月出里角色页将同一02号语音服装标为“翻译装置”
私服(日本語)	私服(翻译装置)	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz	jsonl:1247:/wikitext/角色语音/tabber/魔法少女/私服(翻译装置)	0.96	Wiki同一角色页的语音服装分组采用“私服(翻译装置)”
銀幕衣装	银幕服装	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz	jsonl:925:/wikitext/商店/忘却之圆舞曲1部	0.98	Wiki活动商店对目标两名角色的该服装统一采用“银幕服装”
魔法少女(葉月)	魔法少女(叶月)	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/charaList.json/3027/name	0.99	仅替换官方国服已确认的名称或用词组件
通关主线第1部第2章第5話	通关主线第1部第2章第5话	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第2章-5话/title	0.98	仅替换Wiki已确认的名称或用词组件
裏方独演会	后台个人演出	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/裏方独演会/name_ja;/裏方独演会/name_zh	0.99	Wiki日中显式对应
桜前線急上昇	樱花前线急速上升	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/桜前線急上昇/name_ja;/桜前線急上昇/name_zh	0.99	Wiki日中显式对应
“你们要悔改”（译注：《圣经·马太福音》3章第2節）＠背对十字的光线，稳静地陈述着＠班里活跃的开心果＠站在有烦恼的人面前，也会露出这样的一面		2_wiki_exact_equivalent	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/町の片隅の小さな光/desc_zh	1.00	当前文本已与Wiki中文字段一致（换行规范化为＠后逐字相等）；保留原值，无需替换
究極VS至高	究极VS至高	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/究極vs至高/name_ja;/究極vs至高/name_zh	0.99	Wiki日中显式对应
一次又一次地想起来＠垂死的少女们的慟哭，和令人窒息的血腥味＠握住手掌上残留着鲜血感觉，直面无法赦免的罪＠也许是因为想受到制裁，亦或是...		2_wiki_exact_equivalent	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/赦されぬ罪/desc_zh	1.00	当前文本已与Wiki中文字段一致（换行规范化为＠后逐字相等）；保留原值，无需替换
引縄批根	引绳批根	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/引縄批根/name_ja;/引縄批根/name_zh	0.99	Wiki日中显式对应
攻击力降低[Ⅳ] & 防御力降低[Ⅳ](敌単/1T) & HP自动回复[Ⅲ](自身/3T)	攻击力DOWN[Ⅳ] & 防御力DOWN[Ⅳ](敌单/1T) & 自动回复HP[Ⅲ](自/3T)	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/お菓子の宝石箱/effect_ja;/お菓子の宝石箱/effect	0.99	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
攻击力降低[Ⅴ] & 防御力降低[Ⅴ](敌単/1T) & HP自动回复[Ⅳ](自身/3T)	攻击力DOWN[Ⅴ] & 防御力DOWN[Ⅴ](敌单/1T) & 自动回复HP[Ⅳ](自/3T)	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/お菓子の宝石箱/effect_max_ja;/お菓子の宝石箱/effect_max	0.99	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
防御力降低[Ⅵ](敌全/1T) & 状态異常耐性UP[Ⅴ](自身/1T)	防御力DOWN[Ⅵ](敌全/1T) & 状态异常耐性UP[Ⅴ](自/1T)	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/予鈴で目を覚ます/effect_ja;/予鈴で目を覚ます/effect	0.99	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
防御力降低[Ⅶ](敌全/1T) & 状态異常耐性UP[Ⅵ](自身/1T)	防御力DOWN[Ⅶ](敌全/1T) & 状态异常耐性UP[Ⅵ](自/1T)	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/予鈴で目を覚ます/effect_max_ja;/予鈴で目を覚ます/effect_max	0.99	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
状态異常耐性UP[Ⅳ](我方全体/3T)	状态异常耐性UP[Ⅳ](己全/3T)	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/真夏の夜の魔法/effect_ja;/真夏の夜の魔法/effect	0.99	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
状态異常耐性UP[Ⅴ](我方全体/3T)	状态异常耐性UP[Ⅴ](己全/3T)	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/真夏の夜の魔法/effect_max_ja;/真夏の夜の魔法/effect_max	0.99	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
攻击力降低[Ⅱ] & 状态異常耐性DOWN[Ⅱ](敌全/3T)	攻击力DOWN[Ⅱ] & 状态异常耐性DOWN[Ⅱ](敌全/3T)	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/迷わず進むための光/effect_ja;/迷わず進むための光/effect	0.99	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
攻击力降低[Ⅴ] & 防御力降低[Ⅴ](敌単/1T)	攻击力DOWN[Ⅴ] & 防御力DOWN[Ⅴ](敌单/1T)	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/約束を胸に刻んで/effect_ja;/約束を胸に刻んで/effect	0.99	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
攻击力降低[Ⅵ] & 防御力降低[Ⅵ](敌単/1T)	攻击力DOWN[Ⅵ] & 防御力DOWN[Ⅵ](敌单/1T)	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/約束を胸に刻んで/effect_max_ja;/約束を胸に刻んで/effect_max	0.99	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
状态異常耐性UP[Ⅲ](我方全体/1T)	状态异常耐性UP[Ⅲ](己全/1T)	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/穏やかに日々を紡いで/effect_ja;/穏やかに日々を紡いで/effect	0.99	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
攻击力降低[Ⅲ](敌単/1T) & 防御力提升[Ⅱ](自身/1T)	攻击力DOWN[Ⅲ](敌单/1T) & 防御力UP[Ⅱ](自/1T)	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/星合に浮かぶ/effect_ja;/星合に浮かぶ/effect	0.99	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
攻击力降低[Ⅴ](敌単/1T) & 防御力提升[Ⅱ](自身/1T)	攻击力DOWN[Ⅴ](敌单/1T) & 防御力UP[Ⅱ](自/1T)	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/星合に浮かぶ/effect_max_ja;/星合に浮かぶ/effect_max	0.99	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
状态異常耐性DOWN[Ⅱ](敌単/3T)	状态异常耐性DOWN[Ⅱ](敌单/3T)	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/重すぎる代償/effect_ja;/重すぎる代償/effect	0.99	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
状态異常耐性DOWN[Ⅲ](敌単/3T)	状态异常耐性DOWN[Ⅲ](敌单/3T)	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/重すぎる代償/effect_max_ja;/重すぎる代償/effect_max	0.99	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
HP自动回复[Ⅲ] & 状态異常耐性UP[Ⅲ](我方全体/3T)	自动回复HP[Ⅲ] & 状态异常耐性UP[Ⅲ](己全/3T)	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/ファースト・レコード/effect_ja;/ファースト・レコード/effect	0.99	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
攻击力提升[Ⅲ] & 瀕死时攻击力提升[Ⅰ]	攻击力提升[Ⅲ] & 濒死时攻击力提升[Ⅰ]	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/pieceSkillMap.json/127301/shortDescription	1.00	官方国服直接值
攻击力降低[XⅡ](敌単/1T) & 防御力提升[Ⅵ](自身/1T)	攻击力DOWN[XⅡ](敌单/1T) & 防御力UP[Ⅵ](自/1T)	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/遊びだって真剣勝負/effect_ja;/遊びだって真剣勝負/effect	0.99	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
攻击力降低[XⅢ](敌単/1T) & 防御力提升[Ⅶ](自身/1T)	攻击力DOWN[XⅢ](敌单/1T) & 防御力UP[Ⅶ](自/1T)	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/遊びだって真剣勝負/effect_max_ja;/遊びだって真剣勝負/effect_max	0.99	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
状态異常耐性DOWN[Ⅶ] & 防御力降低[Ⅷ](敌全/1T)	状态异常耐性DOWN[Ⅶ] & 防御力DOWN[Ⅷ](敌全/1T)	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/無心になりたくて/effect_ja;/無心になりたくて/effect	0.99	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
状态異常耐性DOWN[Ⅷ] & 防御力降低[Ⅸ](敌全/1T)	状态异常耐性DOWN[Ⅷ] & 防御力DOWN[Ⅸ](敌全/1T)	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/無心になりたくて/effect_max_ja;/無心になりたくて/effect_max	0.99	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
HP自动回复[Ⅳ] & 状态異常耐性UP[Ⅱ](自身/3T)	自动回复HP[Ⅳ] & 状态异常耐性UP[Ⅱ](自/3T)	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/縋ってしまった光/effect_ja;/縋ってしまった光/effect	0.99	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
防御力提升[Ⅳ] & 状态異常耐性UP[Ⅳ](自身/3T)	防御力UP[Ⅳ] & 状态异常耐性UP[Ⅳ](自/3T)	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/ありあまるユーフォリア/effect_ja;/ありあまるユーフォリア/effect	0.99	Wiki记忆结晶日文效果与中文效果的结构化对应；活动加成尾段未写入技能短说明
HP自动回复[Ⅱ] & 防御力上昇[Ⅰ]	自动回复HP[Ⅱ] & 防御力UP[Ⅰ]	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/いつもの朝の光景/effect_ja;/いつもの朝の光景/effect;/これが恋の香り/effect_ja;/これが恋の香り/effect	0.98	Wiki结构化效果对分别确认“HP自动回复→自动回复HP”和“防御力上昇→防御力UP”
神滨市営霊园						未找到官方国服或Wiki可直接采用的中文对
調整屋	调整屋	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第3章-5话/lines/5/text	0.94	仅替换Wiki已确认的名称或用词组件
时女一族編 1話	时女一族篇 1话	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第2部第8章-22话/title	0.99	Wiki对应主线章节标题
南津 涼子	南津凉子	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/cardList.json/30584/cardName	1.00	官方国服直接值
时女一族編 2話	时女一族篇 2话	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第2部第8章-23话/title	0.99	Wiki对应主线章节标题
时女一族編 3話	时女一族篇 3话	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第2部第8章-24话/title	0.99	Wiki对应主线章节标题
